monotonic_time_ns,ros_time_sec,ros_time_nsec,node_name,pid,cache_references,cache_misses,cache_reference_delta,cache_miss_delta,cache_miss_rate_percent,cache_hit_rate_percent,counters_valid
4764571871688,1781364884,905793526,ackermann_mux,30586,1730836,30572,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,ackermann_to_vesc_node,30582,18739475,989620,3373030,181624,5.384595,94.615405,true
4764571871688,1781364884,905793526,ekf_localization,30481,21117980,594844,3390997,100768,2.971633,97.028367,true
4764571871688,1781364884,905793526,gpu_amcl_cpp,30479,343073022,1747716,2584225,116750,4.517795,95.482205,true
4764571871688,1781364884,905793526,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,lifecycle_manager_map,30576,2751441,73959,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,map_server,30574,184482077,399190,151087,5730,3.792517,96.207483,true
4764571871688,1781364884,905793526,odom_fused,30477,13502977,528529,1643547,84761,5.157200,94.842800,true
4764571871688,1781364884,905793526,performance_monitor,30485,5197665,154894,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,pipeline_latency_monitor,30483,20790778,670701,2439741,77939,3.194560,96.805440,true
4764571871688,1781364884,905793526,scan_splitter_node,30590,22658529,200905,518165,20736,4.001814,95.998186,true
4764571871688,1781364884,905793526,static_baselink_to_imu,30631,1361740,22548,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,static_baselink_to_laser,30612,654767,13235,0,0,0.000000,-1.000000,true
4764571871688,1781364884,905793526,system_monitor,30584,184966731,3983295,30945475,675294,2.182206,97.817794,true
4764571871688,1781364884,905793526,vesc_driver_node,30578,18909137,706154,1989099,82231,4.134083,95.865917,true
4764571871688,1781364884,905793526,vesc_to_odom_node,30580,22300235,1463008,3708381,265513,7.159809,92.840191,true
4764771868334,1781364885,111845275,ackermann_mux,30586,1730836,30572,0,0,0.000000,-1.000000,true
4764771868334,1781364885,111845275,ackermann_to_vesc_node,30582,22189122,1179634,3449647,190014,5.508216,94.491784,true
4764771868334,1781364885,111845275,ekf_localization,30481,24687084,703460,3569104,108616,3.043229,96.956771,true
4764771868334,1781364885,111845275,gpu_amcl_cpp,30479,345643165,1853214,2570143,105498,4.104752,95.895248,true
4764771868334,1781364885,111845275,hokuyo_scip_driver,30588,1900390,34662,0,0,0.000000,-1.000000,true
4764771868334,1781364885,111845275,lateral_planner_node,30719,0,0,0,0,0.000000,-1.000000,true
4764771868334,1781364885,111845275,lifecycle_manager_map,30576,2751441,73959,0,0,0.000000,-1.000000,true
4764771868334,1781364885,111845275,map_server,30574,184633363,404827,151286,5637,3.726055,96.273945,true
4764771868334,1781364885,111845275,odom_fused,30477,15176830,615416,1673853,86887,5.190838,94.809162,true
4764771868334,1781364885,111845275,performance_monitor,30485,5239368,156606,41703,1712,4.105220,95.894780,true
4764771868334,1781364885,111845275,pipeline_latency_monitor,30483,23350393,756564,2559615,85863,3.354528,96.645472,true
4764771868334,1781364885,111845275,scan_splitter_node,30590,23237742,224915,579213,24010,4.145280,95.854720,true
