idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
7259,1779177386063431427,0,0,1,-70190,1146775,52976,-16299,778633,57015,-466197,-70128,1129838
7260,1779177386068333428,0,0,1,-70204,1164545,52248,-15646,779582,56981,-463462,-70262,1146775
7261,1779177386073318535,0,0,1,-70234,1168365,51508,-15022,782490,56938,-461773,-70273,1164545
7262,1779177386078333818,0,0,3,-70264,1174984,51550,-17332,785754,56907,-460663,-70317,1168365
7263,1779177386083352878,0,0,4,-70653,1211937,50883,-18555,788662,56892,-459879,-70337,1174984
7264,1779177386088334625,0,0,4,-71396,1229328,50870,-20843,791926,56903,-459275,-70723,1211937
7265,1779177386093243314,0,0,1,-72064,1228777,50095,-20178,796079,56880,-459169,-71465,1229328
7266,1779177386098330439,0,0,1,-72429,1226018,49301,-19569,800708,56867,-459260,-72136,1228777
7267,1779177386103329850,0,0,7,-73716,1258568,49267,-21858,802607,56854,-457917,-72496,1226018
7268,1779177386108331470,0,0,2,-75372,1294187,48472,-21199,803675,56749,-456684,-73790,1258568
7269,1779177386113381506,0,0,1,-77388,1311040,47419,-18626,805337,56541,-456136,-75432,1294187
7270,1779177386118351477,0,0,1,-78733,1335890,46624,-17937,807651,56235,-455740,-77448,1311040
7271,1779177386123346312,0,0,7,-80096,1361517,46608,-20210,810618,55883,-455172,-78788,1335890
7272,1779177386128332027,0,0,3,-81412,1390786,45809,-19520,813289,55481,-454243,-80148,1361517
7273,1779177386133352974,0,0,2,-81012,1435536,44682,-20851,815662,55023,-453569,-81463,1390786
7274,1779177386139396826,0,0,1,-79486,1446353,43821,-20670,819520,54565,-456789,-81073,1435536
7275,1779177386143546489,0,0,3,-79341,1444815,43764,-22538,823377,54346,-450194,-79492,1446353
7276,1779177386148336744,0,0,1,-79832,1451327,42912,-21740,828065,54155,-448539,-79360,1444815
7277,1779177386153335803,0,0,4,-79924,1466300,42820,-23985,829905,53925,-448959,-79846,1451327
7278,1779177386158345455,0,0,4,-79681,1503406,41975,-23327,831210,53722,-449225,-79929,1466300
7279,1779177386163351330,0,0,1,-79211,1514599,40791,-22013,834593,53584,-448991,-79691,1503406
7280,1779177386168356885,0,0,1,-78271,1521108,39932,-21348,838984,53526,-447938,-79224,1514599
7281,1779177386173327144,0,0,1,-76336,1501077,39838,-23561,843316,53561,-445324,-78284,1521108
7282,1779177386178324603,0,0,1,-74186,1494482,38996,-22918,848301,53724,-441528,-76421,1501077
7283,1779177386183350639,0,0,9,-71345,1493188,37775,-24124,854829,54030,-437683,-74208,1494482
7284,1779177386188338018,0,0,3,-68098,1431617,37632,-26285,862721,54523,-433381,-71349,1493188
7285,1779177386193332341,0,0,2,-68710,1431460,36769,-25606,868833,54987,-429927,-71349,1431617
7286,1779177386198347177,0,0,2,-65391,1436876,35910,-24935,872038,55578,-425408,-68710,1431460
7287,1779177386203328283,0,0,3,-62518,1450039,35067,-24292,874946,56306,-421519,-65394,1436876
7288,1779177386208342799,0,0,2,-60396,1455606,34219,-23638,879515,57175,-420225,-62517,1450039
7289,1779177386213346978,0,0,2,-58497,1424572,34177,-25490,884322,58172,-420875,-60394,1455606
7290,1779177386218336277,0,0,3,-56717,1442625,33359,-24891,887467,59292,-421944,-58498,1424572
7291,1779177386223372745,0,0,3,-54988,1475076,32559,-24384,890019,60538,-423002,-56715,1442625
7292,1779177386228002292,0,0,3,-53410,1495883,31774,-23722,893995,61692,-423616,-54986,1475076
7293,1779177386232983463,0,0,2,-50766,1474946,31631,-26984,898920,63062,-422966,-53408,1495883
7294,1779177386238356515,0,0,3,-47923,1472419,30838,-26616,904736,64831,-418406,-50750,1474946
7295,1779177386243334710,0,0,3,-45495,1474866,30084,-26143,909898,66555,-411160,-47921,1472419
7296,1779177386248421643,0,0,3,-43662,1509268,29341,-25698,911501,68292,-404074,-45493,1474866
7297,1779177386253336508,0,0,3,-42303,1553237,28612,-25170,913222,69911,-397393,-43664,1509268
7298,1779177386258346096,0,0,3,-41046,1569067,27904,-24722,918978,71524,-391336,-42302,1553237
7299,1779177386263347267,0,0,3,-38921,1580747,27048,-25334,925268,73106,-385734,-41045,1569067
7300,1779177386268362007,0,0,2,-36366,1544905,26954,-27245,930253,74717,-381031,-38922,1580747
7301,1779177386273351210,0,0,3,-33830,1544102,26297,-26808,936424,76400,-378477,-36363,1544905
7302,1779177386278327452,0,0,3,-31545,1549875,25658,-26409,942596,78194,-378354,-33832,1544102
7303,1779177386283342032,0,0,3,-28167,1588191,25482,-28422,946275,80118,-379051,-31545,1549875
7304,1779177386288319139,0,0,3,-24913,1625051,24847,-28139,949242,82218,-378208,-28168,1588191
7305,1779177386293326550,0,0,3,-22229,1650964,24232,-27905,952803,84485,-376606,-24915,1625051
7306,1779177386298333449,0,0,3,-20007,1683206,23635,-27706,956601,86850,-375535,-22229,1650964
7307,1779177386303337693,0,0,3,-18065,1726686,23063,-27561,959212,89278,-374354,-20006,1683206
7308,1779177386308343568,0,0,3,-16156,1769211,22516,-27470,962179,91750,-371955,-18069,1726686
7309,1779177386313415973,0,0,3,-13602,1793050,22034,-28307,967698,94299,-367855,-16155,1769211
7310,1779177386318360343,0,0,3,-10952,1804956,21496,-28226,974166,96844,-361774,-13598,1793050
7311,1779177386323359530,0,0,3,-8548,1824455,20981,-28185,978795,99428,-353655,-10954,1804956
7312,1779177386328334077,0,0,3,-6425,1851568,20489,-28146,981821,101935,-345329,-8547,1824455
7313,1779177386333363281,0,0,2,-2984,1851568,20853,-32680,985975,104397,-338292,-6427,1851568
7314,1779177386338338628,0,0,3,497,1851568,20333,-32621,991198,106885,-332256,-2983,1851568
7315,1779177386343356055,0,0,4,3470,1851568,19830,-32584,996479,109468,-326494,498,1851568
7316,1779177386348335562,0,0,3,5932,1851568,19354,-32579,1001939,112074,-321468,3471,1851568
7317,1779177386353326717,0,0,3,8065,1851568,18895,-32603,1009119,114727,-317211,5932,1851568
7318,1779177386358325424,0,0,3,10159,1851568,18451,-32631,1016003,117412,-312455,8067,1851568
7319,1779177386363348516,0,0,3,12022,1851568,18518,-32589,1021106,120107,-304568,10159,1851568
7320,1779177386368341751,0,0,3,13797,1851568,18101,-32632,1025854,122701,-293143,12023,1851568
7321,1779177386373322858,0,0,2,15516,1851568,17705,-32653,1030126,125123,-280076,13792,1851568
7322,1779177386378341726,0,0,3,17224,1851568,17324,-32647,1034280,127364,-267046,15515,1851568
7323,1779177386383384914,0,0,3,20767,1851568,17208,-35672,1037900,129417,-253990,17223,1851568
7324,1779177386388349220,0,0,2,23882,1851568,17141,-36862,1041520,131365,-239784,20756,1851568
7325,1779177386394097673,0,0,3,26445,1851568,16400,-35692,1046208,133494,-222079,23879,1851568
7326,1779177386398847382,0,0,3,28348,1851568,16029,-35534,1049472,135023,-212162,26445,1851568
7327,1779177386403368415,0,0,1,27831,1851568,15989,-36458,1051846,136263,-204276,26445,1851568
7328,1779177386408341649,0,0,2,29432,1851568,15929,-37418,1055228,137539,-193228,27812,1851568
7329,1779177386413424198,0,0,2,32488,1851568,15534,-39626,1057661,138694,-180322,29421,1851568
7330,1779177386418330008,0,0,2,35195,1851568,15155,-39346,1059560,139719,-164975,32473,1851568
7331,1779177386423324523,0,0,3,36955,1851568,14797,-39044,1062587,140611,-145744,35189,1851568
7332,1779177386428321886,0,0,3,37911,1851568,14460,-38692,1066503,141217,-125154,36952,1851568
7333,1779177386433409363,0,0,2,40409,1851568,13909,-41461,1071369,141471,-104582,37911,1851568
7334,1779177386438349253,0,0,2,42633,1851568,13531,-40965,1076117,141476,-84573,40408,1851568
7335,1779177386443344376,0,0,2,43946,1851568,13175,-40440,1080805,141234,-64135,42633,1851568
7336,1779177386448327275,0,0,2,44393,1851568,12830,-39839,1085611,140682,-44667,43946,1851568
7337,1779177386453338398,0,0,2,44425,1851568,12510,-39221,1089231,139779,-26493,44393,1851568
7338,1779177386458352626,0,0,2,44424,1851568,12205,-38555,1092020,138532,-9845,44426,1851568
7339,1779177386463371622,0,0,2,45964,1851568,11618,-40105,1094632,136979,4892,44425,1851568
7340,1779177386468359513,0,0,2,47544,1851568,11299,-39417,1097955,135289,18207,45964,1851568
7341,1779177386473361292,0,0,2,48449,1851568,10991,-38699,1102287,133486,31141,47544,1851568
7342,1779177386478360479,0,0,2,48642,1851568,10708,-37989,1106203,131539,45224,48450,1851568
7343,1779177386483417076,0,0,2,49723,1851568,10077,-39105,1109526,129350,62624,48642,1851568
7344,1779177386488351174,0,0,2,50376,1851568,9786,-38306,1111960,126990,84310,49723,1851568
7345,1779177386493333176,0,0,2,50195,1851568,9518,-37461,1114333,124264,110228,50377,1851568
7346,1779177386498356652,0,0,2,49377,1851568,9263,-36520,1118012,121031,137997,50195,1851568
7347,1779177386503333343,0,0,2,48206,1851568,9031,-35533,1122641,117281,164719,49378,1851568
7348,1779177386508339858,0,0,1,46865,1851568,8838,-34588,1128397,112968,188750,48206,1851568
7349,1779177386513354310,0,0,2,47685,1851568,8457,-36597,1135162,108168,209008,46865,1851568
7350,1779177386518415803,0,0,2,48435,1851568,8178,-35432,1141393,103076,227236,47684,1851568
7351,1779177386523351244,0,0,2,48622,1851568,7948,-34390,1147150,97916,243057,48435,1851568
7352,1779177386528357888,0,0,2,48145,1851568,7719,-33301,1152668,92497,257513,48622,1851568
7353,1779177386533370003,0,0,2,48605,1851568,7364,-34219,1158603,86876,270095,48145,1851568
7354,1779177386538385703,0,0,1,48579,1851568,7022,-32810,1165843,81158,280927,48605,1851568
7355,1779177386543373754,0,0,2,48069,1851568,6764,-31710,1174032,75382,289079,48579,1851568
7356,1779177386548360013,0,0,2,47299,1851568,6504,-30605,1181509,69546,295447,48069,1851568
7357,1779177386553354336,0,0,2,46480,1851568,6245,-29505,1186968,63666,301696,47299,1851568
7358,1779177386558335091,0,0,2,45685,1851568,5983,-28392,1191063,57772,308509,46480,1851568
7359,1779177386563583756,0,0,2,47542,1851568,5789,-31383,1195039,51516,316059,45685,1851568
7360,1779177386568277208,0,0,2,48867,1851568,5470,-30368,1200083,46033,322837,47542,1851568
7361,1779177386573375982,0,0,2,49011,1851568,5245,-29723,1206255,40149,330658,48867,1851568
7362,1779177386578377825,0,0,2,48214,1851568,4890,-28586,1212842,34350,336808,49012,1851568
