idx,stamp_ns,status,status_api,iters,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp
22756,1779178007801502377,0,0,9,-7441,-1851569,1512,-15098,1417633,166832,352393,-5571,-1851569
22757,1779178007806456511,0,0,9,-16031,-1851569,1459,-11774,1411520,151452,364285,-11263,-1851569
22758,1779178007811451029,0,0,15,-23323,-1851569,1599,-9160,1399118,122140,374090,-16087,-1851569
22759,1779178007816868527,0,0,3,-29916,-1851569,552,-5514,1392353,106026,368248,-22967,-1851569
22760,1779178007821714052,0,0,4,-35872,-1851569,878,-3750,1386419,91785,364143,-29702,-1851569
22761,1779178007826465751,0,0,3,-40558,-1851569,654,287,1379891,78033,359281,-34296,-1851569
22762,1779178007831459534,0,0,6,-44075,-1851569,816,2819,1374075,63713,349432,-40419,-1851569
22763,1779178007836450148,0,0,8,-50567,-1851569,975,5301,1368438,49839,337420,-44074,-1851569
22764,1779178007841459290,0,0,4,-55965,-1851569,927,8550,1362682,36224,319665,-50505,-1851569
22765,1779178007846479856,0,0,7,-59352,-1851569,-593,10064,1356391,23099,298115,-55942,-1851569
22766,1779178007851545223,0,0,6,-59184,-1851569,-953,14138,1350576,10817,277095,-55942,-1851569
22767,1779178007856746208,0,0,4,-63454,-1851569,-563,15464,1344404,-844,254915,-59298,-1851569
22768,1779178007861527988,0,0,2,-65798,-1851569,-455,17492,1344404,-844,254915,-63596,-1851569
22769,1779178007866488777,0,0,4,-68325,-1851569,-1234,22094,1337698,-11148,231421,-66395,-1851569
22770,1779178007871465951,0,0,3,-69590,-1851569,-1051,23937,1324940,-30204,174261,-68443,-1851569
22771,1779178007876516374,0,0,3,-69414,-1851569,-860,25659,1324940,-30204,174261,-69421,-1851569
22772,1779178007881461164,0,0,3,-67884,-1851569,-935,28300,1313190,-45555,117527,-69169,-1851569
22773,1779178007886449346,0,0,3,-66416,-1851569,-740,29802,1306188,-51699,90695,-67752,-1851569
22774,1779178007891453112,0,0,2,-65095,-1851569,-543,31213,1299185,-56888,64297,-66178,-1851569
22775,1779178007896500335,0,0,3,-64569,-1851569,-1513,33027,1299185,-56888,64297,-64954,-1851569
22776,1779178007901456261,0,0,2,-63129,-1851569,-1303,34196,1291827,-61202,37214,-63591,-1851569
22777,1779178007906466459,0,0,2,-59366,-1851569,-804,34093,1278771,-67079,-20653,-61969,-1851569
22778,1779178007911458385,0,0,6,-57375,-1851569,-1140,37327,1271769,-68560,-50829,-59689,-1851569
22779,1779178007916619017,0,0,3,-56838,-1851569,-2001,38801,1271769,-68560,-50829,-57904,-1851569
22780,1779178007921561375,0,0,7,-47070,-1851569,-1733,39467,1265479,-69152,-82690,-53120,-1851569
22781,1779178007926538100,0,0,10,-43134,-1851569,-1448,40032,1258239,-68614,-111170,-46159,-1851569
22782,1779178007931463306,0,0,8,-39323,-1851569,-1148,40484,1243581,-64527,-163197,-43348,-1851569
22783,1779178007936460352,0,0,3,-33680,-1851569,-823,40827,1235451,-61270,-187870,-39354,-1851569
22784,1779178007941465942,0,0,3,-26158,-1851569,-480,41097,1227440,-57150,-209240,-33714,-1851569
22785,1779178007946522701,0,0,18,-25105,-1851569,-1204,42000,1219607,-52108,-226601,-26151,-1851569
22786,1779178007951486339,0,0,13,-6459,-1851569,-1171,43483,1212189,-46854,-245870,-25104,-1851569
22787,1779178007956568250,0,0,12,-2313,-1851569,-1125,44877,1205127,-41200,-267801,-6459,-1851569
22788,1779178007961487119,0,0,6,-4725,-1851569,-302,43511,1197650,-33928,-277682,-2312,-1851569
22789,1779178007966486822,0,0,2,-8321,-1851569,-846,42348,1197650,-33928,-277682,-4725,-1851569
22790,1779178007971515708,0,0,11,-417,-1851569,-5,40759,1181331,-19363,-315891,-5196,-1851569
22791,1779178007976452722,0,0,12,15172,-1851569,486,40492,1173379,-11626,-333290,-363,-1851569
22792,1779178007981459048,0,0,6,15057,-1851569,658,41556,1173379,-11626,-333290,10134,-1851569
22793,1779178007986470622,0,0,10,6221,-1707980,1229,41137,1159374,5415,-358590,7145,-1851569
22794,1779178007991517173,0,0,13,18226,-1851569,2186,39257,1159374,5415,-358590,6961,-1707980
22795,1779178007996528971,1,1,50,25295,-1851569,1664,39296,1146378,22274,-385392,7270,-1851569
