time_s,rpm,motor_current_A,duty_cycle,voltage_V,phase
2.6001,0,-0.01,0.0050,11.6,step_up
2.6051,0,0.06,0.0000,11.6,step_up
2.6101,0,-0.03,-0.0010,11.6,step_up
2.6151,0,-0.01,0.0000,11.6,step_up
2.6201,0,-0.03,0.0050,11.6,step_up
2.6251,0,0.04,0.0000,11.6,step_up
2.6301,0,0.00,-0.0010,11.6,step_up
2.6351,0,0.00,0.0000,11.6,step_up
2.6401,0,0.00,0.0000,11.6,step_up
2.6451,0,0.00,0.0000,11.6,step_up
2.6501,0,0.00,0.0000,11.6,step_up
2.6551,0,0.00,0.0000,11.6,step_up
2.6601,0,0.00,0.0000,11.6,step_up
2.6651,0,0.00,0.0000,11.6,step_up
2.6701,0,0.00,0.0000,11.6,step_up
2.6751,0,0.00,0.0000,11.6,step_up
2.6801,0,0.00,0.0000,11.6,step_up
2.6851,0,0.00,0.0000,11.6,step_up
2.6901,0,0.00,0.0000,11.6,step_up
2.6951,0,0.00,0.0000,11.6,step_up
2.7001,0,0.00,0.0000,11.6,step_up
2.7051,0,0.00,0.0000,11.6,step_up
2.7101,0,0.00,0.0000,11.6,step_up
2.7151,0,0.00,0.0000,11.6,step_up
2.7201,0,0.00,0.0000,11.6,step_up
2.7251,0,0.00,0.0000,11.6,step_up
2.7301,0,0.00,0.0000,11.6,step_up
2.7351,0,0.00,0.0000,11.6,step_up
2.7401,0,0.00,0.0000,11.6,step_up
2.7451,0,0.00,0.0000,11.6,step_up
2.7501,0,0.00,0.0000,11.6,step_up
2.7551,0,-0.02,0.0000,11.6,step_up
2.7601,0,-0.02,0.0000,11.6,step_up
2.7651,0,-0.01,0.0000,11.6,step_up
2.7701,0,-0.02,0.0000,11.6,step_up
2.7751,0,-0.02,0.0000,11.6,step_up
2.7801,0,-0.03,0.0000,11.6,step_up
2.7851,0,-0.01,0.0000,11.6,step_up
2.7901,0,-0.02,0.0000,11.6,step_up
