stage,trial_id,side,fraction,approach,raw_echo,odom_v,odom_v_mad,yaw_rate,yaw_rate_mad,curvature,delta_eq_rad,delta_eq_deg,split
05_static_map_holdout,validation_high_raw_0.06_shuffled_sweep_01__attempt_01,high_raw,0.06,shuffled,0.556569792092636,0.616189010989011,0.0030205938461536994,-0.03730848530386597,0.012043616671064822,-0.06054714485086999,-0.019614759025063523,-1.1238429083022812,holdout
05_static_map_holdout,validation_low_raw_0.80_shuffled_sweep_01__attempt_01,low_raw,0.8,shuffled,0.1992785022262082,0.6130197802197803,0.007383673846153689,0.7129922796421861,0.060467713400017914,1.1630820124377774,0.36038159389994756,20.64834434466457,holdout
05_static_map_holdout,validation_low_raw_0.20_shuffled_sweep_01__attempt_01,low_raw,0.2,shuffled,0.4491785022262084,0.6166417582417583,0.0030205938461538642,0.18230383632696012,0.012762212069013384,0.29563978418647213,0.09549593633484524,5.47151411263664,holdout
05_static_map_holdout,validation_low_raw_0.06_shuffled_sweep_01__attempt_01,low_raw,0.06,shuffled,0.5074885022262084,0.6159626373626373,0.0030205938461538642,0.056855683113048026,0.013873631885552015,0.09230378543167259,0.029897515215245262,1.7130014397617166,holdout
05_static_map_holdout,validation_low_raw_0.65_shuffled_sweep_01__attempt_01,low_raw,0.65,shuffled,0.26175350222620825,0.6139252747252747,0.005369944615384501,0.5836420794438467,0.03697136159647939,0.9506728318116902,0.29879642639009113,17.119774165743593,holdout
05_static_map_holdout,validation_low_raw_0.35_shuffled_sweep_01__attempt_02,low_raw,0.35,shuffled,0.3867035022262084,0.6155098901098901,0.0030205938461538642,0.32652008469098764,0.015165098862116772,0.530487145596787,0.1702146791068123,9.752582723993978,holdout
05_static_map_holdout,validation_low_raw_0.50_shuffled_sweep_01__attempt_01,low_raw,0.5,shuffled,0.32422850222620836,0.6136989010989011,0.003356215384615478,0.46450012524367423,0.02367580670316991,0.7568860306119684,0.24048525025716327,13.77878987488285,holdout
05_static_map_holdout,validation_high_raw_0.65_shuffled_sweep_02__attempt_03,high_raw,0.65,shuffled,0.7934674757791733,0.6136989010989011,0.00704805230769224,-0.5222314353118673,0.03461253650899925,-0.8509570970010695,-0.26902626476450964,-15.414069549175451,holdout
05_static_map_holdout,validation_high_raw_0.35_shuffled_sweep_02__attempt_01,high_raw,0.35,shuffled,0.6730110264470357,0.616189010989011,0.003356215384615478,-0.2968668542546327,0.016600022411189956,-0.48177888433639554,-0.15484675855290672,-8.872065736362838,holdout
05_static_map_holdout,validation_high_raw_0.06_shuffled_sweep_02__attempt_01,high_raw,0.06,shuffled,0.556569792092636,0.6164153846153847,0.0030205938461538642,-0.04041722445323449,0.010712213761158572,-0.06556816306337489,-0.021240889800277062,-1.2170133386583537,holdout
05_static_map_holdout,validation_high_raw_0.50_shuffled_sweep_02__attempt_01,high_raw,0.5,shuffled,0.7332392511131045,0.615057142857143,0.004698701538461274,-0.4073994577960948,0.023310530104662976,-0.6623765978939619,-0.2114033783328748,-12.11252135328112,holdout
05_static_map_holdout,validation_high_raw_0.20_shuffled_sweep_02__attempt_02,high_raw,0.2,shuffled,0.6127828017809669,0.6159626373626373,0.0026849723076924153,-0.14664297220219885,0.014388176611691589,-0.2380712129392766,-0.07698263688371026,-4.4107801892247425,holdout
05_static_map_holdout,validation_high_raw_0.80_shuffled_sweep_02__attempt_01,high_raw,0.8,shuffled,0.853695700445242,0.6136989010989011,0.006376809230769342,-0.6138141496693025,0.0410418685800301,-1.0001877933465335,-0.3133822311861716,-17.95547922136068,holdout
05_static_map_holdout,validation_low_raw_0.06_shuffled_sweep_02__attempt_01,low_raw,0.06,shuffled,0.5074885022262084,0.616189010989011,0.0030205938461536994,0.04191837042106506,0.01367335841610481,0.06802842905910346,0.022037642738353538,1.262663919324784,holdout
05_static_map_holdout,validation_low_raw_0.65_shuffled_sweep_02__attempt_02,low_raw,0.65,shuffled,0.26175350222620825,0.6134725274725275,0.0060411876923077285,0.5857135527187376,0.03957908411488387,0.9547510711389876,0.30000282693076186,17.188895825126327,holdout
05_static_map_holdout,validation_low_raw_0.35_shuffled_sweep_02__attempt_01,low_raw,0.35,shuffled,0.3867035022262084,0.6157362637362638,0.0030205938461538642,0.3361904220832288,0.013380223452252663,0.5459974373496184,0.17509168485315252,10.032014569920323,holdout
05_static_map_holdout,validation_low_raw_0.20_shuffled_sweep_02__attempt_01,low_raw,0.2,shuffled,0.4491785022262084,0.616189010989011,0.0030205938461538642,0.1804303274672246,0.014133591013225397,0.2928165290997738,0.09458943980159819,5.419575687138343,holdout
05_static_map_holdout,validation_low_raw_0.80_shuffled_sweep_02__attempt_02,low_raw,0.8,shuffled,0.1992785022262082,0.612567032967033,0.011746753846153844,0.7153457816765164,0.0655369688293716,1.1677836761989357,0.36171483650857195,20.72473351920576,holdout
05_static_map_holdout,validation_low_raw_0.50_shuffled_sweep_02__attempt_01,low_raw,0.5,shuffled,0.32422850222620836,0.6148307692307692,0.0036918369230770913,0.47889469402787743,0.026121496648557382,0.7789048921982793,0.24720347785175747,14.163715961861426,holdout
