idx,iterations,status,solve_time_us,total_call_us,opencl_overhead_us,input_pack_us,input_migrate_enq_us,kernel_enq_us,output_migrate_enq_us,wait_us,output_unpack_us,input_migrate_us,kernel_us,output_migrate_us,in_mig_submit_us,in_mig_sched_us,gap_in_to_kernel_us,kernel_submit_us,kernel_sched_us,gap_kernel_to_out_us,out_mig_submit_us,out_mig_sched_us,udp_recv_us,crc_us
6217,5,0,348.835,380.645,129.972,4.830,14.360,80.251,6.860,255.594,0.240,10.141,250.673,9.370,0.750,24.330,21.690,0.700,0.830,22.100,208.553,20.260,6.920,92.511
6218,4,0,340.564,372.934,133.361,4.880,14.970,80.761,7.220,246.023,0.240,10.140,239.573,9.150,0.780,23.610,23.230,0.720,0.830,23.561,197.162,21.711,7.090,92.512
6219,5,0,351.114,382.974,132.851,4.860,14.540,79.321,7.090,258.623,0.250,9.780,250.123,10.670,0.770,23.760,22.961,0.720,0.820,23.080,209.113,21.150,6.751,92.521
6220,3,0,406.205,438.376,149.282,4.870,14.560,84.232,7.140,308.603,0.270,10.120,289.094,9.410,0.750,24.171,24.190,0.730,0.830,24.230,245.483,22.200,6.620,92.491
6221,5,0,355.425,387.535,133.742,4.850,14.660,82.211,7.220,259.894,0.240,9.900,253.793,9.850,0.760,25.220,22.841,0.720,0.820,23.230,211.393,21.170,6.490,92.501
6222,4,0,393.885,425.855,134.851,4.850,14.400,85.292,7.100,295.233,0.270,12.350,291.004,9.660,0.860,23.961,22.950,0.710,0.800,22.530,247.073,20.560,8.120,92.491
6223,3,0,389.455,421.596,133.462,4.880,14.740,82.231,7.110,293.704,0.250,10.340,288.134,9.280,0.790,24.610,23.260,0.700,0.800,22.960,245.823,20.960,8.970,92.511
6224,4,0,338.244,369.815,131.352,4.871,13.950,82.441,7.080,242.463,0.250,10.000,238.463,9.130,0.770,23.710,24.300,0.700,0.840,21.811,196.152,19.771,6.800,92.491
6225,3,0,348.785,380.085,133.082,4.840,14.160,83.571,7.180,252.094,0.240,10.241,247.003,9.110,0.760,26.010,22.160,0.760,0.830,23.460,203.943,21.420,6.270,92.491
6226,2,0,346.204,377.745,132.762,4.850,14.130,85.081,7.170,248.053,0.241,9.960,244.983,9.240,0.760,24.170,24.371,0.720,0.800,22.370,201.023,20.340,6.690,92.511
6227,2,0,370.685,404.125,135.632,4.820,16.270,81.091,7.060,276.354,0.250,9.660,268.493,10.770,0.750,22.360,26.421,0.710,0.840,23.390,226.293,21.360,6.480,92.492
6228,2,0,370.945,402.495,132.912,4.870,13.970,84.351,7.200,273.264,0.250,10.040,269.583,9.350,0.730,21.610,26.471,0.720,0.830,22.330,225.553,20.340,7.641,92.501
6229,6,0,372.095,404.115,135.272,4.850,14.670,83.901,7.020,275.014,0.250,10.900,268.843,8.940,0.800,22.610,25.611,0.710,0.810,22.960,225.863,20.970,7.011,92.521
6230,1,0,248.943,280.403,130.531,4.840,14.090,80.971,7.000,154.492,0.270,11.741,149.872,9.500,0.770,21.270,23.880,0.710,0.800,21.740,107.872,19.740,6.930,92.521
6231,3,0,222.743,254.473,128.061,4.850,14.200,78.131,7.170,131.232,0.260,10.100,126.412,8.740,0.810,22.480,22.550,0.680,0.800,21.660,85.121,19.800,6.650,92.522
6232,6,0,266.103,297.414,130.602,4.840,13.830,80.561,7.070,172.012,0.230,9.961,166.812,9.040,0.750,24.220,21.240,0.710,0.770,23.280,123.942,21.570,9.190,92.521
6233,1,0,192.142,224.042,128.001,4.860,14.170,77.241,7.090,101.511,0.250,9.500,96.041,9.020,0.790,24.020,21.171,0.690,0.810,21.440,55.281,19.650,6.921,92.501
6234,4,0,242.403,273.653,129.772,4.840,13.950,79.351,7.160,149.632,0.260,10.330,143.881,9.220,0.790,24.330,20.491,0.710,0.820,23.001,101.771,21.251,6.720,92.501
6235,2,0,211.753,243.423,130.922,4.870,14.530,78.810,7.130,119.441,0.230,9.800,112.501,8.900,0.790,23.331,22.430,0.710,0.870,24.141,70.610,22.431,6.420,92.511
