monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1973333863421,1779177996,868746617,58.202,0.000
1973353860630,1779177996,888742867,60.869,0.000
1973373864336,1779177996,908747596,59.621,40.000
1973393866474,1779177996,928749414,59.232,40.000
1973413866148,1779177996,948749888,60.790,39.000
1973433861054,1779177996,968744090,55.206,39.000
1973453891736,1779177996,988775028,50.524,7.000
1973473957491,1779177997,8840111,50.476,7.000
1973493866316,1779177997,28749096,49.810,39.000
1973513865797,1779177997,48746241,48.312,39.000
1973533866911,1779177997,68749435,52.857,27.000
1973553859257,1779177997,88741781,53.896,27.000
1973573864531,1779177997,108747695,54.805,39.000
1973593860524,1779177997,128742569,57.238,39.000
1973613863142,1779177997,148746178,56.277,40.000
1973633857568,1779177997,168740060,56.277,40.000
1973653873178,1779177997,188761590,49.952,39.000
1973673860852,1779177997,208743216,48.139,39.000
1973693863949,1779177997,228747081,47.229,40.000
1973713833703,1779177997,248713187,44.786,40.000
1973733869633,1779177997,268752797,41.167,25.000
1973753859547,1779177997,288741847,41.167,25.000
1973773864085,1779177997,308747217,42.167,39.000
1973793861582,1779177997,328743338,43.119,39.000
1973813862792,1779177997,348745412,40.619,13.000
1973833860930,1779177997,368742878,41.429,13.000
1973853860380,1779177997,388742968,45.368,39.000
1973873862133,1779177997,408744722,43.355,39.000
1973893859183,1779177997,428741803,43.405,39.000
1973913859113,1779177997,448738757,50.071,39.000
1973933864675,1779177997,468747455,53.036,39.000
1973953852156,1779177997,488734265,52.369,39.000
1973973912663,1779177997,508795731,52.083,0.000
1973993858896,1779177997,528741260,50.985,0.000
1974013862442,1779177997,548745542,46.639,39.000
1974033854372,1779177997,568736448,45.389,39.000
1974053861246,1779177997,588744026,44.250,40.000
1974073809239,1779177997,608692467,45.841,40.000
1974093862641,1779177997,628745133,46.841,13.000
1974113858603,1779177997,648738407,45.286,13.000
1974133866789,1779177997,668749505,44.286,40.000
1974153859198,1779177997,688741499,41.000,40.000
1974173860152,1779177997,708742900,41.212,13.000
1974193856594,1779177997,728739118,40.119,13.000
1974213865868,1779177997,748749192,42.532,0.000
1974233857798,1779177997,768740418,42.071,0.000
1974253863039,1779177997,788746235,43.405,39.000
1974273864793,1779177997,808748309,39.199,39.000
1974293860723,1779177997,828743823,39.848,39.000
1974313861069,1779177997,848743049,40.000,39.000
1975326291001,1779177998,861630458,52.540,0.000
1975333869004,1779177998,868751176,52.540,0.000
1975353865349,1779177998,888748162,63.004,0.000
1975373859359,1779177998,908742043,71.226,0.000
1975393856665,1779177998,928738741,66.115,0.000
1975413904115,1779177998,948786735,64.802,38.000
1975433862348,1779177998,968744488,63.472,38.000
1975453867782,1779177998,988750754,54.975,13.000
1975473850431,1779177999,8732219,44.056,13.000
1975493863481,1779177999,28746261,46.889,25.000
1975513897395,1779177999,48777135,46.912,25.000
1975533865292,1779177999,68747688,43.874,38.000
1975553856198,1779177999,88738466,41.450,38.000
1975573865632,1779177999,108748316,42.922,0.000
1975593836441,1779177999,128718101,41.364,0.000
1975613865043,1779177999,148747471,40.452,0.000
1975633863372,1779177999,168745416,37.641,0.000
1975653865990,1779177999,188749122,41.571,39.000
1975673860255,1779177999,208742620,39.351,39.000
1975693860921,1779177999,228743989,38.593,39.000
1975713865427,1779177999,248745007,37.424,39.000
1975734097807,1779177999,268980939,40.500,0.000
1975753857542,1779177999,288739490,42.619,0.000
1975773863071,1779177999,308745884,42.500,38.000
1975793836889,1779177999,328719253,41.500,38.000
1975813867123,1779177999,348749871,42.786,39.000
1975833863116,1779177999,368745352,41.786,39.000
1975853865702,1779177999,388748642,38.119,38.000
1975873858623,1779177999,408740475,36.619,38.000
1975893864985,1779177999,428748021,36.926,38.000
1975913859155,1779177999,448738927,40.119,38.000
1975933875980,1779177999,468759144,41.017,39.000
1975953856326,1779177999,488738626,41.926,39.000
1975973869023,1779177999,508751772,44.502,0.000
1975993850329,1779177999,528732373,44.199,0.000
1976013862675,1779177999,548746031,42.167,38.000
1976033860268,1779177999,568742408,43.485,38.000
1976053863750,1779177999,588747042,37.000,38.000
1976073858271,1779177999,608740411,38.667,38.000
1976093942106,1779177999,628825014,37.667,30.000
1976113858451,1779177999,648737679,38.139,30.000
1976133869612,1779177999,668751880,38.619,40.000
1976153857478,1779177999,688739810,40.260,40.000
1976173868127,1779177999,708751419,42.273,21.000
1976193826521,1779177999,728707893,40.500,21.000
1976213859346,1779177999,748741839,43.429,0.000
1976233858828,1779177999,768740840,40.262,0.000
1976253865030,1779177999,788748034,40.498,38.000
1976273860255,1779177999,808742395,38.167,38.000
1976293860921,1779177999,828744117,35.606,38.000
1976313856114,1779177999,848738255,38.593,38.000
1976333951117,1779177999,868833033,37.186,38.000
1976353857670,1779177999,888739842,38.452,38.000
1976373860447,1779177999,908743259,38.593,0.000
