wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177899803647771,1779177899794845558,0.582,2000,2.382,3.734,6.116,1.131,0.965,8.213
1779177899833356399,1779177899824772365,0.308,2000,2.346,3.988,6.335,1.543,0.391,8.269
1779177899853327732,1779177899844735889,0.434,2000,2.546,4.026,6.572,1.235,0.343,8.151
1779177899883966963,1779177899874786634,0.627,2000,2.313,3.879,6.192,2.222,0.134,8.547
1779177899902671402,1779177899894793295,0.231,2000,2.466,4.035,6.500,1.025,0.115,7.640
1779177899933060614,1779177899924761351,0.204,2000,2.463,4.220,6.682,1.304,0.103,8.089
1779177899953498384,1779177899944752044,0.256,2000,2.686,4.302,6.988,1.167,0.328,8.483
1779177899983088323,1779177899974780676,0.247,2000,2.512,4.046,6.558,1.212,0.284,8.054
1779177900002929383,1779177899994764937,0.670,2000,2.071,4.028,6.099,0.995,0.393,7.488
1779177900033622502,1779177900024791297,0.237,2000,2.444,4.101,6.545,1.895,0.147,8.588
1779177900054290931,1779177900044774182,0.265,2000,2.789,3.738,6.526,1.188,1.530,9.244
1779177900082930011,1779177900074789246,0.264,2000,2.474,4.152,6.626,1.068,0.176,7.870
1779177900099337623,1779177900094767491,0.291,2000,2.566,0.047,2.614,0.694,0.964,4.271
1779177900133382301,1779177900124789915,0.216,2000,2.585,4.577,7.162,1.006,0.200,8.369
1779177900156504326,1779177900144804288,0.229,2000,2.596,7.585,10.181,1.024,0.259,11.464
1779177900183359449,1779177900174763959,0.245,2000,2.553,4.316,6.869,1.314,0.161,8.344
1779177900203715043,1779177900194760156,0.264,2000,2.791,3.955,6.746,1.031,0.906,8.683
1779177900234034622,1779177900224746868,0.275,2000,2.530,4.417,6.946,1.016,1.042,9.004
1779177900253143673,1779177900244752697,0.378,2000,3.154,3.450,6.604,1.261,0.142,8.007
1779177900284343102,1779177900274754864,0.270,2000,2.519,4.006,6.525,1.953,0.833,9.311
1779177900299486060,1779177900294751733,0.689,2000,2.188,0.047,2.234,0.818,0.986,4.039
1779177900332821002,1779177900324754445,0.269,2000,2.518,3.983,6.501,1.034,0.255,7.791
1779177900353285268,1779177900344758802,0.656,2000,2.322,4.135,6.457,1.279,0.128,7.864
1779177900379208029,1779177900374757962,0.247,2000,2.720,0.045,2.765,0.628,0.804,4.196
1779177900398745085,1779177900394778959,0.351,2000,2.549,0.046,2.594,0.836,0.179,3.609
1779177900433123111,1779177900424754023,0.351,2000,2.684,3.855,6.539,1.223,0.250,8.012
1779177900453031019,1779177900444773580,0.288,2000,2.444,4.052,6.496,1.214,0.252,7.963
1779177900483070339,1779177900474757603,0.399,2000,2.286,4.045,6.330,1.222,0.355,7.907
1779177900503012359,1779177900494774729,0.318,2000,3.016,3.431,6.447,1.143,0.322,7.913
1779177900532703291,1779177900524776960,0.206,2000,2.644,4.025,6.669,0.816,0.230,7.715
1779177900552935043,1779177900544759013,0.225,2000,2.722,3.766,6.488,1.304,0.153,7.945
1779177900582515798,1779177900574831102,0.647,2000,2.188,3.461,5.650,1.119,0.262,7.031
1779177900603214435,1779177900594808611,0.234,2000,2.743,3.972,6.715,1.137,0.312,8.164
1779177900629287310,1779177900624762042,0.486,2000,2.216,0.047,2.263,0.901,0.868,4.033
1779177900653172255,1779177900644761887,0.323,2000,2.463,4.220,6.683,1.274,0.123,8.081
1779177900683580571,1779177900674751414,0.236,2000,3.105,3.747,6.852,0.818,0.916,8.586
1779177900703008346,1779177900694755900,0.508,2000,2.764,3.479,6.243,1.164,0.331,7.738
1779177900732971409,1779177900724780563,0.306,2000,2.297,4.308,6.606,0.980,0.292,7.877
1779177900782852909,1779177900774776048,0.256,2000,2.662,3.928,6.589,1.001,0.223,7.814
1779177900832825865,1779177900824805549,1.138,2000,1.812,3.825,5.638,1.048,0.191,6.876
1779177900882925319,1779177900874759849,0.328,2000,2.491,3.986,6.476,1.200,0.154,7.831
1779177900933037893,1779177900924747270,0.372,2000,2.719,3.850,6.569,1.037,0.305,7.912
