monotonic_time_ns,ros_time_sec,ros_time_nsec,gpu_percent
1906293860491,1779177929,828743015,0.000
1906313956973,1779177929,848839113,0.000
1906333862221,1779177929,868744681,0.000
1906353862607,1779177929,888744363,0.000
1906373870128,1779177929,908753100,38.000
1906393858321,1779177929,928740749,38.000
1906413861362,1779177929,948744110,4.000
1906433854739,1779177929,968736912,4.000
1906453861557,1779177929,988745137,38.000
1906473837558,1779177930,8719666,38.000
1906493863959,1779177930,28746931,52.000
1906513837400,1779177930,48716692,52.000
1906533863289,1779177930,68746454,0.000
1906553858779,1779177930,88740631,0.000
1906573812059,1779177930,108694359,38.000
1906593861021,1779177930,128742873,38.000
1906613879006,1779177930,148761690,38.000
1906633839487,1779177930,168721051,38.000
1906653861856,1779177930,188744508,39.000
1906673858721,1779177930,208740733,39.000
1906693858818,1779177930,228741279,7.000
1906713814307,1779177930,248693791,7.000
1906733859333,1779177930,268741473,38.000
1906753818341,1779177930,288700001,38.000
1906773859687,1779177930,308742115,30.000
1906793816776,1779177930,328698372,30.000
1906813815241,1779177930,348697925,38.000
1906833867082,1779177930,368748775,38.000
1906853863788,1779177930,388746408,38.000
1906873862285,1779177930,408744393,38.000
1906893862926,1779177930,428745514,39.000
1906913832975,1779177930,448712875,39.000
1906933865872,1779177930,468749036,0.000
1906953864561,1779177930,488746861,0.000
1906973942771,1779177930,508825359,38.000
1906993863411,1779177930,528746288,38.000
1907013863637,1779177930,548746577,39.000
1907033860022,1779177930,568746066,39.000
1907053865527,1779177930,588747731,13.000
1907073865400,1779177930,608747348,13.000
1907093816505,1779177930,628698549,38.000
1907113865242,1779177930,648744950,38.000
1907133874300,1779177930,668757112,13.000
1907153860316,1779177930,688742233,13.000
1907173867998,1779177930,708750874,0.000
1907193813502,1779177930,728699290,0.000
1907213869664,1779177930,748752796,38.000
1907233859041,1779177930,768741853,38.000
1907253896131,1779177930,788778815,38.000
1907273857443,1779177930,808739839,38.000
1907293866692,1779177930,828749377,38.000
1907313817093,1779177930,848699329,38.000
1907333826854,1779177930,868709058,0.000
1907353858280,1779177930,888739780,0.000
1907373823913,1779177930,908706693,48.000
1907393840234,1779177930,928721862,48.000
1907413864619,1779177930,948747591,13.000
1907433866028,1779177930,968747496,13.000
1907453858093,1779177930,988740074,25.000
1907473821390,1779177931,8703082,25.000
1907493826159,1779177931,28708075,38.000
1907513824176,1779177931,48703820,38.000
1907533875250,1779177931,68758318,0.000
1907553858611,1779177931,88740751,0.000
1907573858068,1779177931,108740112,40.000
1907593821780,1779177931,128703888,40.000
1907613898486,1779177931,148781266,38.000
1907633861559,1779177931,168748179,38.000
1907653877592,1779177931,188760404,39.000
1907673833816,1779177931,208715188,39.000
1907693860954,1779177931,228743894,0.000
1907713875899,1779177931,248755287,0.000
1907733860732,1779177931,268743512,38.000
1907753826364,1779177931,288708792,38.000
1907773862238,1779177931,308744218,39.000
1907793824670,1779177931,328710906,39.000
1907813862432,1779177931,348744572,38.000
1907833858849,1779177931,368741181,38.000
1907853869922,1779177931,388751774,39.000
1907873824322,1779177931,408706046,39.000
1907893859620,1779177931,428741664,39.000
1907913857093,1779177931,448736961,39.000
1907933859782,1779177931,468741698,38.000
1907953856839,1779177931,488738627,38.000
1907973862984,1779177931,508745604,7.000
1907993859817,1779177931,528741733,7.000
1908013898538,1779177931,548781702,39.000
1908033859371,1779177931,568741191,39.000
1908053857260,1779177931,588738600,31.000
1908073847341,1779177931,608729129,31.000
1908093863214,1779177931,628745706,39.000
1908113860047,1779177931,648739627,39.000
1908133829807,1779177931,668712108,40.000
1908153829328,1779177931,688710605,40.000
1908173866514,1779177931,708749646,38.000
1908193826578,1779177931,728708559,38.000
1908213858516,1779177931,748740528,0.000
1908233816756,1779177931,768697904,0.000
1908253861462,1779177931,788744306,40.000
1908273927608,1779177931,808809844,40.000
1908293862392,1779177931,828745332,39.000
1908313851545,1779177931,848734133,39.000
1908333873306,1779177931,868755222,18.000
1908353837531,1779177931,888719127,18.000
1908373863516,1779177931,908746200,39.000
1908393860733,1779177931,928742521,39.000
1908413861054,1779177931,948744026,13.000
1908433857951,1779177931,968739419,13.000
1908453837056,1779177931,988719420,0.000
1908473861601,1779177932,8743421,0.000
1908493871618,1779177932,28754110,39.000
1908513863747,1779177932,48743743,39.000
1908533865412,1779177932,68747584,39.000
1908553829444,1779177932,88714816,39.000
1908573839557,1779177932,108722177,39.000
1908593863526,1779177932,128745538,39.000
1908613863015,1779177932,148749251,0.000
1908633863592,1779177932,168745540,0.000
1908653836265,1779177932,188718597,40.000
1908673833513,1779177932,208715718,40.000
1908693859659,1779177932,228742151,13.000
1908713866316,1779177932,248746504,13.000
1908733859980,1779177932,268742696,25.000
1908753836429,1779177932,288717865,25.000
1908773862350,1779177932,308744842,39.000
1908793857167,1779177932,328738539,39.000
1908813864528,1779177932,348753644,32.000
1908833859825,1779177932,368741645,32.000
1908853840017,1779177932,388722382,38.000
1908873861075,1779177932,408743215,38.000
1908893860243,1779177932,428743088,39.000
1908913861748,1779177932,448741456,39.000
1908933869269,1779177932,468758641,38.000
1908953869366,1779177932,488751026,38.000
1908973862295,1779177932,508745395,38.000
1908993829400,1779177932,528711220,38.000
1909013860441,1779177932,548743381,39.000
1909033865274,1779177932,568747638,39.000
1909053862715,1779177932,588745111,38.000
1909073846395,1779177932,608728151,38.000
1909093862972,1779177932,628745656,38.000
1909113853469,1779177932,648732985,38.000
1909133866750,1779177932,668749434,38.000
1909153828703,1779177932,688710235,38.000
1909173861568,1779177932,708744028,0.000
1909193861217,1779177932,728743133,0.000
1909213860450,1779177932,748743006,38.000
1909233854210,1779177932,768736190,38.000
1909253861571,1779177932,788744319,38.000
1909273858852,1779177932,808740864,38.000
1909293848901,1779177932,828731553,39.000
1909313861670,1779177932,848743682,39.000
1909333841255,1779177932,868723651,32.000
1909353859912,1779177932,888742244,32.000
1909373846024,1779177932,908728357,38.000
1909393867242,1779177932,928749606,38.000
1909413864970,1779177932,948748039,30.000
1909433863403,1779177932,968745319,30.000
1909453863468,1779177932,988746152,0.000
1909473842317,1779177933,8723977,0.000
1909493866766,1779177933,28749354,39.000
1909513848046,1779177933,48727850,39.000
1909533863183,1779177933,68746347,38.000
1909553842992,1779177933,88724876,38.000
1909573857873,1779177933,108740397,38.000
1909593858258,1779177933,128740078,38.000
1909613859762,1779177933,148741678,0.000
1909633855699,1779177933,168737615,0.000
1909653866132,1779177933,188748592,38.000
1909673844468,1779177933,208726001,38.000
1909693859605,1779177933,228742449,13.000
1909713846358,1779177933,248726322,13.000
1909733859991,1779177933,268742195,0.000
1909753856888,1779177933,288738100,0.000
1909773865880,1779177933,308748757,38.000
1909793849049,1779177933,328731413,38.000
1909813862650,1779177933,348745334,0.000
1909833861019,1779177933,368742903,0.000
1909853849307,1779177933,388731191,0.000
1909873858684,1779177933,408740440,0.000
1909893863037,1779177933,428745081,0.000
1909913847294,1779177933,448726842,0.000
1909933848798,1779177933,468731866,53.000
1909954579015,1779177933,489460323,53.000
1909973858240,1779177933,508740348,0.000
1909993863969,1779177933,528746109,0.000
1910013865826,1779177933,548748158,25.000
1910033818594,1779177933,568700606,25.000
1910053860195,1779177933,588742591,0.000
1910073859332,1779177933,608741312,0.000
1910093860293,1779177933,628742529,0.000
1910113847077,1779177933,648726433,0.000
1910133903079,1779177933,668786083,0.000
1910153857511,1779177933,688739107,0.000
1910173859464,1779177933,708742052,39.000
1910193822856,1779177933,728704452,39.000
1910213864841,1779177933,748747205,0.000
1910233840138,1779177933,768721254,0.000
1910253859723,1779177933,788742119,0.000
1910273852011,1779177933,808733447,0.000
1910293862348,1779177933,828744968,0.000
1910313862093,1779177933,848743593,0.000
1910333866990,1779177933,868750314,40.000
1910353843086,1779177933,888724810,40.000
1910373852303,1779177933,908734379,25.000
