wall_time_ns,scan_stamp_ns,scan_stamp_to_scan_ms,amcl_particle_count,scan_to_amcl_ms,amcl_to_ekf_ms,scan_to_ekf_ms,ekf_to_drive_ms,drive_to_ackermann_ms,scan_to_ackermann_ms
1779177357146153797,1779177357140364662,0.245,2000,2.552,1.000,3.551,1.963,0.025,5.539
1779177357175335733,1779177357170417596,0.271,2000,2.513,0.766,3.280,1.307,0.054,4.641
1779177357195471621,1779177357190357767,0.644,2000,1.975,0.835,2.809,1.221,0.432,4.462
1779177357225179618,1779177357220356907,0.291,2000,2.855,0.356,3.212,1.178,0.135,4.525
1779177357245815839,1779177357240493788,0.310,2000,2.981,0.337,3.318,1.604,0.084,5.006
1779177357281102117,1779177357270851560,0.481,2000,3.141,4.504,7.645,1.254,0.862,9.762
1779177357295590314,1779177357290346473,0.557,2000,2.561,0.501,3.062,1.307,0.311,4.680
1779177357325874197,1779177357320350221,0.277,2000,2.876,0.894,3.770,1.275,0.195,5.240
1779177357346335342,1779177357340331482,0.231,2000,2.641,1.031,3.672,1.214,0.879,5.765
1779177357375775300,1779177357370363038,0.537,2000,2.599,0.510,3.109,1.468,0.290,4.867
1779177357395224707,1779177357390353067,0.343,2000,2.378,0.814,3.191,1.207,0.123,4.521
1779177357426585929,1779177357420397776,0.186,2000,2.533,1.948,4.481,1.316,0.199,5.996
1779177357446074825,1779177357440359356,0.667,2000,2.202,1.288,3.490,1.412,0.140,5.042
1779177357476421494,1779177357470373793,0.223,2000,2.726,0.737,3.463,1.562,0.785,5.810
1779177357495766707,1779177357490437647,0.342,2000,2.558,0.926,3.484,1.339,0.159,4.981
1779177357525155591,1779177357520358225,0.210,2000,2.348,0.993,3.341,1.152,0.088,4.581
1779177357545403067,1779177357540453537,0.229,2000,2.473,1.026,3.499,1.092,0.123,4.713
1779177357575565763,1779177357570367810,0.204,2000,2.870,0.543,3.414,1.477,0.096,4.987
1779177357595559536,1779177357590460626,0.322,2000,2.660,0.652,3.311,1.279,0.180,4.770
1779177357620759229,1779177357613032959,0.604,2000,2.976,2.735,5.711,1.265,0.140,7.116
1779177357645303322,1779177357640439426,0.889,2000,2.215,0.383,2.598,1.253,0.117,3.969
1779177357676373049,1779177357670443558,0.250,2000,3.072,0.407,3.479,1.314,0.879,5.672
1779177357695582450,1779177357690378738,0.581,2000,2.032,1.055,3.087,1.369,0.160,4.616
1779177357725681113,1779177357720522745,0.380,2000,2.320,0.878,3.198,1.451,0.123,4.772
1779177357746117072,1779177357740375555,0.232,2000,2.569,1.183,3.753,1.175,0.574,5.502
1779177357776027538,1779177357770372391,0.746,2000,2.978,0.239,3.217,1.632,0.055,4.904
1779177357795414512,1779177357790438581,0.265,2000,2.258,0.829,3.088,1.571,0.046,4.705
1779177357826272265,1779177357820359639,2.632,2000,0.507,1.002,1.509,1.642,0.122,3.274
1779177357845276574,1779177357840364837,0.979,2000,1.913,0.774,2.687,1.196,0.045,3.927
1779177357875729773,1779177357870354696,0.210,2000,2.578,1.017,3.594,1.544,0.021,5.160
1779177357951178961,1779177357920385082,0.751,2000,2.130,0.755,2.885,1.517,-1.000,-1.000
1779177357975504521,1779177357970405003,0.281,2000,2.422,0.886,3.308,1.364,0.140,4.812
1779177358025266291,1779177358020356122,0.653,2000,2.074,0.898,2.972,1.115,0.164,4.251
1779177358045324513,1779177358040363398,0.244,2000,2.824,0.658,3.482,1.178,0.051,4.711
1779177358075283970,1779177358070412906,0.207,2000,2.481,0.669,3.150,1.330,0.176,4.657
1779177358096085569,1779177358090476727,0.237,2000,2.562,0.761,3.323,1.890,0.153,5.366
1779177358125716506,1779177358120365783,0.304,2000,2.769,0.814,3.583,1.412,0.046,5.041
1779177358145353757,1779177358140345122,0.230,2000,2.459,0.934,3.393,1.250,0.128,4.771
1779177358175993359,1779177358170339140,0.209,2000,2.449,1.191,3.640,1.628,0.172,5.439
1779177358196201600,1779177358190386225,0.236,2000,2.313,0.901,3.214,2.189,0.170,5.573
1779177358225594516,1779177358220361267,0.185,2000,2.365,1.098,3.463,1.370,0.209,5.042
1779177358245705538,1779177358240364511,0.291,2000,3.036,0.389,3.425,1.489,0.130,5.043
1779177358275765798,1779177358270363009,0.347,2000,2.203,1.077,3.280,1.492,0.276,5.049
1779177358299125605,1779177358290353805,0.689,2000,1.898,6.106,8.004,0.057,0.016,8.077
1779177358315452374,1779177358310355321,0.256,2000,2.359,0.828,3.186,1.459,0.189,4.835
1779177358345596956,1779177358340362235,0.237,2000,2.730,0.847,3.578,1.273,0.140,4.990
1779177358365320769,1779177358360359047,0.188,2000,2.403,1.021,3.425,1.176,0.168,4.768
1779177358395462887,1779177358390434411,0.747,2000,1.736,0.888,2.624,1.513,0.137,4.275
1779177358415375408,1779177358410372213,0.312,2000,2.549,0.656,3.205,1.338,0.142,4.684
1779177358445528918,1779177358440357783,0.507,2000,2.272,0.866,3.137,1.293,0.228,4.658
1779177358465558307,1779177358460358051,0.458,2000,2.295,1.020,3.315,1.336,0.084,4.735
1779177358496358137,1779177358490360133,0.928,2000,1.725,0.929,2.654,1.509,0.899,5.062
1779177358516734798,1779177358510399538,0.220,2000,3.046,0.766,3.812,2.286,0.012,6.110
1779177358545434960,1779177358540372692,0.201,2000,2.405,1.023,3.428,1.209,0.216,4.854
1779177358566834495,1779177358560387648,0.197,2000,3.125,1.101,4.226,1.169,0.848,6.242
1779177358595766950,1779177358590364866,0.572,2000,2.011,1.087,3.098,1.622,0.104,4.825
1779177358620211200,1779177358610403342,0.225,2000,4.481,5.024,9.505,0.057,0.016,9.578
1779177358645753428,1779177358640360463,0.234,2000,3.569,0.047,3.616,1.435,0.102,5.153
1779177358665674270,1779177358660371004,0.176,2000,2.314,1.078,3.392,1.667,0.063,5.122
1779177358696233838,1779177358690367902,0.750,2000,1.984,0.755,2.739,1.424,0.946,5.109
1779177358716680805,1779177358710352201,0.469,2000,2.560,0.876,3.435,1.644,0.772,5.851
1779177358745542795,1779177358740419245,0.451,2000,2.393,0.828,3.221,1.258,0.188,4.666
1779177358766001250,1779177358760374232,0.301,2000,2.821,0.840,3.662,1.609,0.050,5.320
1779177358796367662,1779177358790370202,0.581,2000,1.993,1.153,3.147,1.457,0.805,5.409
1779177358816229014,1779177358810389158,0.323,2000,2.347,0.927,3.274,1.568,0.666,5.509
1779177358845850639,1779177358840353768,0.528,2000,2.265,1.003,3.268,1.573,0.121,4.962
1779177358866458506,1779177358860350196,0.319,2000,2.357,1.929,4.285,1.354,0.143,5.783
1779177358895857533,1779177358890407511,0.956,2000,1.997,0.804,2.801,1.416,0.270,4.487
1779177358915813224,1779177358910360674,0.249,2000,2.287,1.089,3.375,1.583,0.238,5.196
1779177358945560900,1779177358940422246,0.792,2000,1.756,1.052,2.808,1.349,0.183,4.339
1779177358965473774,1779177358960393553,0.248,2000,2.654,0.795,3.450,1.216,0.160,4.825
1779177358995857625,1779177358990363570,0.361,2000,2.534,0.710,3.243,1.420,0.463,5.126
1779177359015634943,1779177359010346397,0.352,2000,2.359,0.995,3.353,1.532,0.045,4.931
1779177359045613759,1779177359040407999,0.238,2000,2.408,0.988,3.396,1.458,0.107,4.961
1779177359065692204,1779177359060360521,0.262,2000,2.496,0.963,3.458,1.453,0.152,5.063
1779177359095453094,1779177359090458316,0.193,2000,2.366,0.906,3.272,1.325,0.199,4.795
1779177359116424713,1779177359110374996,0.171,2000,2.480,0.836,3.316,1.734,0.822,5.872
1779177359146577677,1779177359140426582,0.680,2000,2.171,1.579,3.750,1.636,0.078,5.465
1779177359165454684,1779177359160453025,0.694,2000,2.133,0.684,2.817,1.344,0.140,4.301
1779177359195470653,1779177359190352895,0.627,2000,3.030,0.086,3.116,1.348,0.021,4.485
1779177359215844017,1779177359210366827,0.213,2000,2.505,0.859,3.364,1.875,0.021,5.260
1779177359245618764,1779177359240352522,0.461,2000,2.232,1.009,3.241,1.301,0.257,4.798
1779177359275563531,1779177359270400460,0.233,2000,2.502,0.822,3.324,1.432,0.167,4.923
1779177359295469907,1779177359290390359,0.241,2000,2.292,1.032,3.325,1.377,0.131,4.833
1779177359325623351,1779177359320397911,0.267,2000,2.315,0.946,3.261,1.583,0.108,4.952
1779177359345700196,1779177359340340897,0.275,2000,2.353,1.236,3.589,1.368,0.120,5.078
1779177359375625699,1779177359370355969,0.431,2000,2.438,0.819,3.257,1.471,0.104,4.833
1779177359396764233,1779177359390333196,0.262,2000,2.668,1.678,4.346,0.772,1.043,6.160
1779177359427521500,1779177359420372973,0.345,2000,2.615,2.707,5.323,1.338,0.136,6.797
1779177359446028962,1779177359440735425,0.202,2000,3.070,0.368,3.438,1.595,0.053,5.086
1779177359475349234,1779177359470365592,0.194,2000,2.332,1.139,3.471,1.169,0.142,4.783
1779177359495279963,1779177359490342146,0.246,2000,2.660,0.670,3.331,1.285,0.071,4.686
1779177359526274068,1779177359520357603,0.199,2000,2.505,1.826,4.331,1.258,0.122,5.711
1779177359545669936,1779177359540374062,0.311,2000,2.177,1.225,3.402,1.557,0.022,4.981
1779177359575597199,1779177359570427408,0.236,2000,3.183,0.076,3.259,1.545,0.122,4.927
1779177359595445046,1779177359590356601,0.261,2000,2.570,0.787,3.357,1.269,0.195,4.821
1779177359625755678,1779177359620347321,0.188,2000,2.615,0.831,3.446,1.572,0.196,5.214
1779177359645674950,1779177359640352068,0.206,2000,2.669,0.853,3.522,1.527,0.063,5.112
