monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_core_0_percent,cpu_core_1_percent,cpu_core_2_percent,cpu_core_3_percent,cpu_core_4_percent,cpu_core_5_percent
1436023230733,1779177459,558113289,50.000,50.000,100.000,100.000,0.000,0.000
1436043229720,1779177459,578112052,50.000,0.000,100.000,0.000,50.000,0.000
1436063232962,1779177459,598115039,50.000,0.000,100.000,100.000,0.000,0.000
1436083232813,1779177459,618115145,100.000,50.000,50.000,0.000,50.000,50.000
1436103235255,1779177459,638117396,50.000,0.000,100.000,0.000,0.000,0.000
1436123233826,1779177459,658115710,0.000,100.000,0.000,0.000,100.000,0.000
1436143229868,1779177459,678112360,0.000,0.000,50.000,50.000,0.000,50.000
1436163231479,1779177459,698113011,0.000,0.000,100.000,0.000,0.000,50.000
1436183231905,1779177459,718113597,0.000,50.000,100.000,100.000,0.000,0.000
1436203231308,1779177459,738114088,0.000,0.000,0.000,0.000,0.000,50.000
1436223232982,1779177459,758114802,0.000,0.000,100.000,50.000,50.000,0.000
1436243230529,1779177459,778112669,0.000,50.000,0.000,0.000,0.000,50.000
1436263233611,1779177459,798115719,66.667,100.000,100.000,50.000,0.000,0.000
1436283229078,1779177459,818111378,0.000,0.000,100.000,0.000,50.000,50.000
1437759997248,1779177461,295033375,0.000,0.000,100.000,0.000,50.000,0.000
1437763257760,1779177461,298140156,50.000,100.000,50.000,100.000,100.000,66.667
1437783241064,1779177461,318122693,100.000,100.000,100.000,50.000,0.000,66.667
1437803232273,1779177461,338113933,0.000,100.000,100.000,50.000,100.000,100.000
1437823235578,1779177461,358117462,50.000,100.000,100.000,50.000,0.000,50.000
1437843260420,1779177461,378142336,50.000,0.000,50.000,0.000,50.000,50.000
1437863231660,1779177461,398113896,0.000,100.000,0.000,0.000,50.000,0.000
1437883249141,1779177461,418131665,50.000,0.000,100.000,0.000,100.000,50.000
1437903230462,1779177461,438112602,0.000,66.667,100.000,0.000,50.000,0.000
1437923231431,1779177461,458113699,0.000,0.000,50.000,0.000,0.000,0.000
