monotonic_time_ns,ros_time_sec,ros_time_nsec,cpu_short_window_percent,gpu_percent
1352483226303,1779177376,18107803,44.833,0.000
1352503227511,1779177376,38108691,42.786,38.000
1352523525142,1779177376,58407058,40.452,38.000
1352543226118,1779177376,78107810,38.593,38.000
1352563257983,1779177376,98139195,35.905,38.000
1352583226902,1779177376,118108690,34.905,14.000
1352603225005,1779177376,138106986,37.488,14.000
1352623224645,1779177376,158106241,36.155,38.000
1352643233021,1779177376,178114905,35.898,38.000
1352663230069,1779177376,198112305,36.851,40.000
1352683223500,1779177376,218104968,41.396,40.000
1352703224484,1779177376,238106560,42.305,0.000
1352723229436,1779177376,258111128,43.030,0.000
1352743227891,1779177376,278109904,43.583,38.000
1352763231115,1779177376,298112743,40.250,38.000
1352783224643,1779177376,318106207,38.712,39.000
1352803224698,1779177376,338106679,38.298,39.000
1352823223762,1779177376,358105166,37.536,38.000
1352843256299,1779177376,378138119,39.805,38.000
1352863227458,1779177376,398109086,38.036,0.000
1352883228985,1779177376,418110518,38.036,0.000
1352903227761,1779177376,438109101,39.773,38.000
1352923227113,1779177376,458108517,39.512,38.000
1352943226753,1779177376,478108317,35.920,38.000
1352963225112,1779177376,498106932,37.095,38.000
1352983225040,1779177376,518106604,38.312,33.000
1353003227656,1779177376,538108900,39.762,33.000
1353023228607,1779177376,558109756,37.714,38.000
1353043227671,1779177376,578108691,40.649,38.000
1353063226351,1779177376,598107787,39.740,0.000
1353083230343,1779177376,618111843,38.667,0.000
1353103227070,1779177376,638108570,37.714,0.000
1353123226678,1779177376,658108210,39.968,0.000
1353143226446,1779177376,678108362,40.530,38.000
1353163226757,1779177376,698108450,37.045,38.000
1353183228669,1779177376,718110201,37.955,38.000
1353203226325,1779177376,738107441,38.907,38.000
1353223227213,1779177376,758109289,40.606,38.000
1353243290086,1779177376,778171650,38.964,38.000
1353263232156,1779177376,798113496,40.298,38.000
1353283226356,1779177376,818107888,39.924,38.000
1353303226859,1779177376,838107751,38.202,42.000
1353323230595,1779177376,858111679,37.369,42.000
1353343226683,1779177376,878107959,37.868,38.000
1353363226898,1779177376,898108271,41.544,38.000
1353383227530,1779177376,918108998,39.925,39.000
1353403226978,1779177376,938107870,42.702,39.000
1353423279291,1779177376,958160375,39.603,39.000
1353443226257,1779177376,978107405,40.317,39.000
1353463227145,1779177376,998108517,39.639,0.000
1353483229152,1779177377,18110876,40.333,0.000
1353503229527,1779177377,38111891,40.286,38.000
1353523228237,1779177377,58109801,42.155,38.000
1353543227908,1779177377,78110400,41.821,38.000
1353563224858,1779177377,98106903,40.869,38.000
1353583228945,1779177377,118110893,40.917,22.000
1353603229352,1779177377,138110596,42.652,22.000
1353623232254,1779177377,158114683,37.803,38.000
1353643228757,1779177377,178110545,37.803,38.000
1353663232396,1779177377,198114408,36.093,38.000
1353683231362,1779177377,218112094,37.083,38.000
1353703229049,1779177377,238111541,37.348,0.000
1353723230320,1779177377,258111788,37.881,0.000
1353743228774,1779177377,278110914,38.983,38.000
1353763231325,1779177377,298113369,40.043,38.000
1353783231475,1779177377,318113616,39.848,38.000
1353803229738,1779177377,338111814,40.548,38.000
1353823231713,1779177377,358114237,37.121,39.000
1353843228759,1779177377,378110611,37.167,39.000
1353863231950,1779177377,398114026,38.636,0.000
1353883229477,1779177377,418109409,35.909,0.000
1353903227771,1779177377,438110039,35.530,38.000
1353923232370,1779177377,458113870,37.695,38.000
1353943231848,1779177377,478113733,39.131,39.000
1353963229247,1779177377,498110875,39.437,39.000
1353983230998,1779177377,518113426,38.528,25.000
1354003228972,1779177377,538110760,40.917,25.000
1354023232067,1779177377,558114559,37.911,38.000
1354043228697,1779177377,578110390,35.119,38.000
1354063228656,1779177377,598110828,37.121,0.000
1354083230823,1779177377,618110883,39.452,0.000
1354103229213,1779177377,638111290,35.167,0.000
1354123229012,1779177377,658111024,38.667,0.000
1354143229995,1779177377,678112999,35.333,39.000
1354163232225,1779177377,698114109,32.571,39.000
1354183230584,1779177377,718112628,32.571,40.000
1354203229583,1779177377,738111115,32.571,40.000
1354223228421,1779177377,758110657,36.460,39.000
1354243230716,1779177377,778112632,39.794,39.000
1354263229490,1779177377,798111663,40.841,25.000
1354283228809,1779177377,818110597,38.889,25.000
1354303230016,1779177377,838111260,38.838,38.000
1354323231830,1779177377,858113234,38.983,38.000
1354343230029,1779177377,878112521,38.874,25.000
1354363230820,1779177377,898112480,40.920,25.000
1354383230298,1779177377,918112566,41.028,38.000
1354403223825,1779177377,938105997,40.530,38.000
1354423230247,1779177377,958112388,40.369,39.000
1354443322912,1779177377,978204476,38.517,39.000
1354463229269,1779177377,998111377,40.682,0.000
1354483240939,1779177378,18120999,37.048,0.000
1354503227008,1779177378,38109532,41.537,20.000
1354523230038,1779177378,58111986,41.537,20.000
1354543229195,1779177378,78111303,42.976,38.000
1354563228865,1779177378,98110909,45.012,38.000
1354583233814,1779177378,118116146,44.058,6.000
1354603230796,1779177378,138112648,45.325,6.000
1354623228577,1779177378,158110845,42.071,38.000
1354643229591,1779177378,178111219,42.071,38.000
1354663228524,1779177378,198110824,37.821,39.000
1354683226754,1779177378,218108766,35.942,39.000
1354703228887,1779177378,238111188,36.500,0.000
1354723226989,1779177378,258108457,40.195,0.000
1354743233891,1779177378,278116127,40.000,38.000
1354763232696,1779177378,298114548,38.182,38.000
1354783229934,1779177378,318112234,42.250,39.000
1354803227555,1779177378,338109151,38.604,39.000
1354823228057,1779177378,358110197,38.214,40.000
1354843227630,1779177378,378109066,37.083,40.000
1354863229476,1779177378,398111200,39.083,0.000
1354883226489,1779177378,418108181,40.833,0.000
1354903231791,1779177378,438113867,41.667,39.000
1354923227012,1779177378,458108480,41.667,39.000
