# x_m, y_m, w_tr_right_m, w_tr_left_m
-2.770662, -0.805074, 1.4668, 1.3948
-2.849519, -0.818170, 1.4690, 1.4068
-2.928413, -0.831047, 1.4694, 1.4202
-3.007351, -0.843650, 1.4683, 1.4331
-3.086339, -0.855929, 1.4661, 1.4439
-3.165384, -0.867841, 1.4637, 1.4526
-3.244489, -0.879346, 1.4614, 1.4598
-3.323657, -0.890416, 1.4596, 1.4664
-3.402886, -0.901031, 1.4578, 1.4721
-3.482177, -0.911181, 1.4559, 1.4758
-3.561525, -0.920870, 1.4535, 1.4761
-3.640926, -0.930110, 1.4506, 1.4734
-3.720376, -0.938927, 1.4472, 1.4687
-3.799868, -0.947359, 1.4433, 1.4637
-3.879395, -0.955450, 1.4394, 1.4600
-3.958950, -0.963255, 1.4353, 1.4583
-4.038527, -0.970836, 1.4315, 1.4580
-4.118119, -0.978260, 1.4278, 1.4577
-4.197719, -0.985597, 1.4245, 1.4556
-4.277321, -0.992917, 1.4221, 1.4499
-4.356918, -1.000291, 1.4212, 1.4385
-4.436503, -1.007784, 1.4224, 1.4214
-4.516072, -1.015460, 1.4258, 1.3991
-4.595616, -1.023373, 1.4310, 1.3743
-4.675132, -1.031573, 1.4367, 1.3513
-4.754614, -1.040098, 1.4417, 1.3329
-4.834056, -1.048979, 1.4452, 1.3215
-4.913456, -1.058236, 1.4473, 1.3167
-4.992810, -1.067881, 1.4492, 1.3190
-5.072115, -1.077916, 1.4520, 1.3266
-5.151370, -1.088335, 1.4566, 1.3394
-5.230576, -1.099125, 1.4625, 1.3551
-5.309733, -1.110267, 1.4686, 1.3728
-5.388844, -1.121736, 1.4738, 1.3909
-5.467910, -1.133505, 1.4774, 1.4083
-5.546936, -1.145543, 1.4799, 1.4242
-5.625925, -1.157821, 1.4818, 1.4383
-5.704881, -1.170305, 1.4836, 1.4502
-5.783810, -1.182967, 1.4858, 1.4603
-5.862714, -1.195778, 1.4888, 1.4681
-5.941599, -1.208709, 1.4934, 1.4742
-6.020468, -1.221735, 1.4996, 1.4787
-6.099325, -1.234833, 1.5072, 1.4823
-6.178174, -1.247980, 1.5152, 1.4856
-6.257019, -1.261152, 1.5226, 1.4891
-6.335863, -1.274327, 1.5289, 1.4926
-6.414711, -1.287480, 1.5341, 1.4953
