x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m; kappa_racetraj_radpm; vx_racetraj_mps
7.0713; -2.2376; 0.7409; 1.4563; 2.9442; 37.7575; -0.0222; 2.5000
6.8946; -2.2008; 0.7054; 1.4950; 2.9394; 37.9380; 0.0081; 2.5000
6.7146; -2.1644; 0.7021; 1.5496; 2.9566; 38.1217; 0.0389; 2.5000
6.5340; -2.1333; 0.6496; 1.5514; 2.9929; 38.3049; 0.0613; 2.5000
6.3553; -2.1106; 0.6055; 1.6097; 3.0272; 38.4851; 0.0332; 2.5000
6.1784; -2.0924; 0.5572; 1.6442; 3.0346; 38.6629; -0.0127; 2.5000
6.0028; -2.0728; 0.5371; 1.7257; 3.0100; 38.8395; -0.0569; 2.5000
5.8282; -2.0461; 0.5326; 1.7556; 2.9712; 39.0162; -0.0528; 2.5000
5.6537; -2.0127; 0.4880; 1.7988; 2.9484; 39.1938; -0.0116; 2.5000
5.4788; -1.9777; 0.4563; 1.8437; 2.9548; 39.3722; 0.0296; 2.5000
5.3025; -1.9463; 0.4441; 1.9109; 2.9849; 39.5512; 0.0542; 2.5000
5.1243; -1.9217; 0.3936; 1.9991; 3.0204; 39.7312; 0.0443; 2.5000
4.9433; -1.9026; 0.4155; 2.0411; 3.0474; 39.9132; 0.0298; 2.5000
4.7586; -1.8872; 0.3970; 2.1638; 3.0643; 40.0985; 0.0160; 2.5000
4.5696; -1.8737; 0.3349; 1.9735; 3.0720; 40.2880; 0.0046; 2.5000
4.3764; -1.8605; 0.3960; 1.6393; 3.0717; 40.4816; -0.0053; 2.5000
4.1794; -1.8463; 0.3498; 1.5330; 3.0641; 40.6791; -0.0138; 2.5000
3.9790; -1.8297; 0.4013; 1.4323; 3.0535; 40.8802; -0.0123; 2.5000
3.7731; -1.8105; 0.4164; 1.3573; 3.0480; 41.0870; -0.0013; 2.5000
3.5573; -1.7901; 0.4034; 1.3188; 3.0511; 41.3038; 0.0079; 2.5000
3.3271; -1.7700; 0.4096; 1.2429; 3.0587; 41.5349; 0.0085; 2.5000
3.0809; -1.7505; 0.4033; 1.1701; 3.0594; 41.7818; -0.0063; 2.5000
2.8269; -1.7288; 0.3992; 1.1053; 3.0449; 42.0368; -0.0225; 2.5000
2.5747; -1.7014; 0.4479; 1.0482; 3.0143; 42.2905; -0.0391; 2.5000
2.3333; -1.6656; 0.4547; 0.9990; 2.9821; 42.5345; -0.0267; 2.5000
2.1047; -1.6258; 0.4578; 1.0077; 2.9737; 42.7666; 0.0105; 2.5000
1.8869; -1.5899; 0.3916; 0.9788; 3.0028; 42.9873; 0.0577; 2.5000
1.6781; -1.5662; 0.4860; 1.0078; 3.0619; 43.1975; 0.0840; 2.5000
1.4779; -1.5573; 0.5073; 0.9637; 3.1220; 43.3978; 0.0653; 2.5000
1.2882; -1.5585; 0.5025; 0.9714; -3.1217; 43.5875; 0.0376; 2.5000
1.1113; -1.5646; 0.5064; 0.9420; -3.1054; 43.7645; 0.0061; 2.5000
