x_ref_m; y_ref_m; width_left_m; width_right_m; psi_racetraj_rad; s_racetraj_m
14.0368; -7.9057; 0.7371; 0.4270; 0.0000; 63.4388
14.2040; -7.9905; 0.7889; 0.4339; 0.0000; 63.6263
14.3692; -8.0789; 0.7834; 0.4299; 0.0000; 63.8136
14.5294; -8.1688; 0.7890; 0.4463; 0.0000; 63.9974
14.6836; -8.2586; 0.7716; 0.5154; 0.0000; 64.1758
14.8352; -8.3486; 0.7784; 0.5181; 0.0000; 64.3521
14.9886; -8.4395; 0.7784; 0.5380; 0.0000; 64.5305
15.1477; -8.5319; 0.7835; 0.5409; 0.0000; 64.7144
15.3090; -8.6254; 0.7117; 0.7743; 0.0000; 64.9009
15.4656; -8.7193; 0.7031; 0.8221; 0.0000; 65.0834
15.6102; -8.8127; 0.6880; 0.8560; 0.0000; 65.2555
15.7407; -8.9081; 0.5299; 1.1619; 0.0000; 65.4172
15.8619; -9.0125; 0.4686; 1.2264; 0.0000; 65.5772
15.9793; -9.1333; 0.4734; 1.2626; 0.0000; 65.7457
16.0970; -9.2762; 0.4845; 1.3386; 0.0000; 65.9308
16.2135; -9.4384; 0.4411; 1.3823; 0.0000; 66.1305
16.3257; -9.6152; 1.0082; 1.3752; 0.0000; 66.3398
16.4296; -9.8016; 0.9691; 1.3398; 0.0000; 66.5532
16.5079; -9.9902; 1.0258; 1.2467; 0.0000; 66.7575
16.5334; -10.1718; 1.0866; 1.2532; 0.0000; 66.9408
16.4784; -10.3372; 1.1500; 1.3092; 0.0000; 67.1151
16.3358; -10.4796; 1.4596; 1.4000; 0.0000; 67.3167
16.1394; -10.5974; 1.2478; 1.0249; 0.0000; 67.5457
15.9277; -10.6896; 1.0445; 0.4549; 0.0000; 67.7766
15.7338; -10.7551; 1.0697; 0.4433; 0.0000; 67.9812
15.5580; -10.7935; 0.9257; 0.5150; 0.0000; 68.1612
15.3879; -10.8047; 0.9064; 0.5167; 0.0000; 68.3317
15.2117; -10.7888; 0.8902; 0.5255; 0.0000; 68.5086
15.0263; -10.7509; 0.8751; 0.5408; 0.0000; 68.6978
14.8377; -10.7012; 0.8265; 0.4788; 0.0000; 68.8928
14.6523; -10.6501; 0.8249; 0.4862; 0.0000; 69.0852
14.4738; -10.6049; 0.8165; 0.4928; 0.0000; 69.2693
14.2990; -10.5633; 0.8281; 0.4543; 0.0000; 69.4489
14.1236; -10.5216; 0.8213; 0.4438; 0.0000; 69.6292
13.9437; -10.4765; 0.8106; 0.4592; 0.0000; 69.8147
13.7604; -10.4288; 0.8200; 0.5150; 0.0000; 70.0042
13.5773; -10.3814; 0.7957; 0.5107; 0.0000; 70.1933
13.3980; -10.3372; 0.8157; 0.5228; 0.0000; 70.3780
13.2226; -10.2964; 0.8105; 0.4871; 0.0000; 70.5580
13.0462; -10.2556; 0.8014; 0.4920; 0.0000; 70.7391
12.8636; -10.2112; 0.8068; 0.4913; 0.0000; 70.9270
12.6722; -10.1610; 0.7590; 0.5229; 0.0000; 71.1249
12.4792; -10.1093; 0.7725; 0.5090; 0.0000; 71.3247
12.2946; -10.0619; 0.7576; 0.5039; 0.0000; 71.5153
12.1270; -10.0239; 0.7713; 0.5007; 0.0000; 71.6872
11.9702; -9.9930; 0.7420; 0.4986; 0.0000; 71.8470
11.8077; -9.9614; 0.7366; 0.4985; 0.0000; 72.0125
11.6228; -9.9213; 0.7367; 0.4911; 0.0000; 72.2017
11.4099; -9.8692; 0.7606; 0.4458; 0.0000; 72.4209
11.1843; -9.8095; 0.7681; 0.4399; 0.0000; 72.6542
10.9636; -9.7473; 0.7649; 0.4215; 0.0000; 72.8836
