# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
10.783567,-0.201878,-2.891498,2.8988374,-0.1359381,0.0000000,0.0000000,0.752546,0.761212
10.863450,-0.279309,-2.871857,2.8872976,-0.1529815,0.0000000,0.0000000,0.762622,0.770430
10.943332,-0.356494,-2.851272,2.8743990,-0.1699606,0.0000000,0.0000000,0.774815,0.782271
11.023215,-0.433392,-2.829641,2.8601493,-0.1868089,0.0000000,0.0000000,0.788413,0.794963
11.103097,-0.509958,-2.806866,2.8445552,-0.2036200,0.0000000,0.0000000,0.802164,0.809353
11.182979,-0.586144,-2.782847,2.8276074,-0.2207043,0.0000000,0.0000000,0.816753,0.827707
11.262862,-0.661894,-2.757488,2.8092570,-0.2387394,0.0000000,0.0000000,0.835316,0.851875
11.342744,-0.737147,-2.730688,2.7893841,-0.2588247,0.0000000,0.0000000,0.857997,0.883701
11.422626,-0.811827,-2.702334,2.7677572,-0.2826567,0.0000000,0.0000000,0.889202,0.925911
11.502507,-0.885845,-2.672295,2.7439872,-0.3124853,0.0000000,0.0000000,0.924172,0.980654
11.582389,-0.959087,-2.640409,2.7174845,-0.3510819,0.0000000,0.0000000,0.958272,1.048114
11.662270,-1.031400,-2.606471,2.6874144,-0.4018142,0.0000000,0.0000000,0.998629,1.128364
11.742150,-1.102579,-2.570215,2.6526752,-0.4680019,0.0000000,0.0000000,1.040107,1.216573
11.822030,-1.172343,-2.531308,2.6118883,-0.5532643,0.0000000,0.0000000,1.089533,1.286259
11.901908,-1.240306,-2.489337,2.5634292,-0.6601543,0.0000000,0.0000000,1.145206,1.323324
11.981784,-1.305947,-2.443825,2.5055330,-0.7896596,0.0000000,0.0000000,1.208534,1.329504
12.061657,-1.368575,-2.394251,2.4365151,-0.9388154,0.0000000,0.0000000,1.299783,1.310617
12.141527,-1.427303,-2.340121,2.3552087,-1.0976800,0.0000000,0.0000000,1.425992,1.275281
12.221392,-1.481074,-2.281069,2.2616413,-1.2463075,0.0000000,0.0000000,1.585836,1.232542
12.301253,-1.528745,-2.216997,2.1578056,-1.3553844,0.0000000,0.0000000,1.213215,1.192642
12.381111,-1.569280,-2.148191,2.0480178,-1.3957750,0.0000000,0.0000000,1.210874,1.163547
12.460969,-1.601995,-2.075341,1.9383233,-1.3530467,0.0000000,0.0000000,1.678610,1.147390
12.540831,-1.626740,-1.999410,1.8348440,-1.2397013,0.0000000,0.0000000,1.489990,1.141711
12.620696,-1.643907,-1.921412,1.7421021,-1.0835888,0.0000000,0.0000000,1.392125,1.141925
12.700566,-1.654282,-1.842218,1.6622775,-0.9157527,0.0000000,0.0000000,1.318460,1.143404
12.780440,-1.658835,-1.762474,1.5954793,-0.7570941,0.0000000,0.0000000,1.257903,1.142520
12.860316,-1.658538,-1.682598,1.5405221,-0.6190897,0.0000000,0.0000000,1.217896,1.137970
12.940195,-1.654268,-1.602834,1.4956254,-0.5050991,0.0000000,0.0000000,1.187539,1.130109
13.020075,-1.646759,-1.523307,1.4588809,-0.4149282,0.0000000,0.0000000,1.165944,1.120696
13.099956,-1.636596,-1.444075,1.4284987,-0.3457813,0.0000000,0.0000000,1.146010,1.111690
13.179838,-1.624230,-1.365157,1.4029286,-0.2944334,0.0000000,0.0000000,1.130836,1.104263
13.259720,-1.609997,-1.286553,1.3808884,-0.2573951,0.0000000,0.0000000,1.120827,1.098782
13.339602,-1.594140,-1.208261,1.3613672,-0.2313613,0.0000000,0.0000000,1.115931,1.093824
13.419484,-1.576829,-1.130277,1.3435884,-0.2137704,0.0000000,0.0000000,1.113567,1.088462
13.499367,-1.558182,-1.052601,1.3269604,-0.2025452,0.0000000,0.0000000,1.112053,1.083934
13.579249,-1.538276,-0.975239,1.3110227,-0.1964880,0.0000000,0.0000000,1.113384,1.082057
13.659131,-1.517154,-0.898199,1.2953813,-0.1951276,0.0000000,0.0000000,1.115154,1.083260
13.739014,-1.494828,-0.821500,1.2796569,-0.1985648,0.0000000,0.0000000,1.119297,1.086561
13.818896,-1.471283,-0.745167,1.2634397,-0.2074654,0.0000000,0.0000000,1.126870,1.091189
13.898778,-1.446470,-0.669236,1.2462597,-0.2226727,0.0000000,0.0000000,1.135372,1.097487
13.978660,-1.420303,-0.593761,1.2275712,-0.2452349,0.0000000,0.0000000,1.143578,1.105896
14.058542,-1.392654,-0.518817,1.2067409,-0.2762989,0.0000000,0.0000000,1.155939,1.116500
14.138424,-1.363349,-0.444504,1.1830509,-0.3168399,0.0000000,0.0000000,1.173536,1.128648
14.218306,-1.332162,-0.370963,1.1557014,-0.3679320,0.0000000,0.0000000,1.187302,1.141470
14.298186,-1.298817,-0.298374,1.1238239,-0.4302212,0.0000000,0.0000000,1.206334,1.153856
14.378066,-1.262988,-0.226981,1.0865087,-0.5041070,0.0000000,0.0000000,1.235200,1.164601
14.457945,-1.224303,-0.157094,1.0428484,-0.5891279,0.0000000,0.0000000,1.266096,1.172967
14.537823,-1.182366,-0.089110,0.9920347,-0.6832822,0.0000000,0.0000000,1.308670,1.178314
14.617699,-1.136781,-0.023520,0.9335079,-0.7823539,0.0000000,0.0000000,1.360735,1.180856
14.697573,-1.087192,0.039096,0.8671810,-0.8787333,0.0000000,0.0000000,1.428652,1.181164
14.777445,-1.033347,0.098090,0.7936970,-0.9617403,0.0000000,0.0000000,1.507532,1.180564
14.857315,-0.975155,0.152798,0.7146403,-1.0184458,0.0000000,0.0000000,1.596098,1.180495
14.937184,-0.912736,0.202627,0.6325139,-1.0387168,0.0000000,0.0000000,1.677570,1.182062
15.017053,-0.846429,0.247151,0.5504148,-1.0177601,0.0000000,0.0000000,1.668591,1.185441
