idx,stamp_sec,stamp_nsec,status,iters,used_fallback,max_iter_streak,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,out_steer_fp,out_accel_fp,pub_steer,pub_speed,pub_accel,ref_vx0_fp,ref_kappa0_fp,ref_left0_fp,ref_right0_fp
119,1779177351,982507998,0,2,0,0,4073,-32901,421450,2213,-100209,-5984,1621836,-5569,1586956,-0.0212440,1.7893169,6.0537567,557674,-75681,188744,264765
120,1779177351,987526203,0,2,0,0,3292,-31377,426851,2617,-99607,-5569,1586956,-5373,1566717,-0.0204964,1.8076038,5.9765511,561420,-74493,188744,270008
121,1779177351,992492792,0,3,0,0,3049,-31867,432013,3000,-98584,-5373,1566717,-5140,1526638,-0.0196075,1.8227086,5.8236618,561582,-74493,188744,270008
122,1779177351,997501013,0,2,0,0,2275,-30357,436761,3369,-97171,-5140,1526638,-5123,1514537,-0.0195427,1.8394361,5.7775002,565380,-73233,188744,270008
123,1779177352,2533715,0,2,0,0,2034,-30838,442220,3707,-95642,-5123,1514537,-5003,1475385,-0.0190849,1.8557799,5.6281471,565539,-73233,188744,270008
124,1779177352,7515951,0,3,0,0,1791,-31305,446849,4016,-93750,-5003,1475385,-4686,1432343,-0.0178757,1.8685123,5.4639549,565697,-73233,188744,270008
125,1779177352,12492299,0,2,0,0,1037,-29793,452071,4313,-91084,-4686,1432343,-4547,1416445,-0.0173454,1.8866132,5.4033089,569509,-72089,188744,270008
126,1779177352,17492648,0,2,0,0,799,-30233,457115,4581,-87941,-4547,1416445,-4356,1377836,-0.0166168,1.9014361,5.2560272,569667,-72089,188744,270008
127,1779177352,22485797,0,2,0,0,55,-28727,461803,4817,-84929,-4356,1377836,-4365,1365086,-0.0166512,1.9178603,5.2073898,573462,-71175,188744,264765
128,1779177352,27512130,0,3,0,0,-179,-29143,467619,5017,-82670,-4365,1365086,-4272,1319708,-0.0162964,1.9348536,5.0342865,573629,-71175,188744,264765
129,1779177352,32478558,0,2,0,0,-913,-27644,472663,5193,-81369,-4272,1319708,-4331,1305199,-0.0165215,1.9524344,4.9789391,577416,-70022,188744,264765
130,1779177352,37477339,0,2,0,0,-1140,-28049,477292,5349,-80955,-4331,1305199,-4251,1270764,-0.0162163,1.9661518,4.8475800,577583,-70022,188744,264765
131,1779177352,42589307,0,2,0,0,-1872,-26585,482395,5508,-81262,-4251,1270764,-4263,1255146,-0.0162621,1.9838309,4.7880020,581365,-68753,183501,264765
132,1779177352,47512053,0,2,0,0,-2088,-26994,486549,5661,-83106,-4263,1255146,-4104,1219935,-0.0156555,1.9956477,4.6536827,581535,-68753,183501,264765
133,1779177352,52731128,0,2,0,0,-2324,-27440,491296,5853,-85557,-4104,1219935,-3698,1182107,-0.0141068,2.0094268,4.5093803,581703,-68753,183501,264765
134,1779177352,57487022,0,2,0,0,-3013,-26023,495272,6074,-89159,-3698,1182107,-3442,1175229,-0.0131302,2.0238070,4.4831429,585481,-68018,183501,264765
135,1779177352,62481931,0,2,0,0,-3231,-26481,499486,6355,-91758,-3442,1175229,-3124,1143226,-0.0119171,2.0362196,4.3610611,585649,-68018,183501,264765
136,1779177352,67509768,0,2,0,0,-3921,-25132,503996,6677,-93379,-3124,1143226,-3016,1133754,-0.0115051,2.0523400,4.3249283,589415,-67182,183501,264765
137,1779177352,72475588,0,2,0,0,-4130,-25600,507497,7005,-94276,-3016,1133754,-2822,1105867,-0.0107651,2.0625038,4.2185478,589586,-67182,183501,264765
138,1779177352,77478177,0,2,0,0,-4807,-24270,511888,7346,-93995,-2822,1105867,-2780,1096938,-0.0106049,2.0782323,4.1844864,593342,-65937,183501,264765
139,1779177352,82487518,0,2,0,0,-5010,-24732,515983,7672,-92238,-2780,1096938,-2630,1066056,-0.0100327,2.0903194,4.0666809,593519,-65937,183501,264765
140,1779177352,87514812,0,2,0,0,-5672,-23412,519662,7976,-88656,-2630,1066056,-2654,1062473,-0.0101242,2.1039436,4.0530128,597094,-65030,183501,264765
141,1779177352,92478744,0,2,0,0,-5865,-23829,523757,8224,-83980,-2654,1062473,-2590,1032080,-0.0098801,2.1160865,3.9370728,597266,-65030,183501,264765
142,1779177352,97471476,0,2,0,0,-6511,-22480,527792,8417,-78782,-2590,1032080,-2711,1026011,-0.0103416,2.1307843,3.9139214,600688,-64239,183501,264765
143,1779177352,102516690,0,2,0,0,-6700,-22853,532361,8542,-73924,-2711,1026011,-2733,991655,-0.0104256,2.1442819,3.7828636,600868,-64239,183501,264765
144,1779177352,107502127,0,2,0,0,-7332,-21484,536219,8610,-70009,-2733,991655,-2887,986409,-0.0110130,2.1583986,3.7628517,604287,-63333,178258,264765
145,1779177352,112479339,0,2,0,0,-7511,-21820,540729,8628,-67579,-2887,986409,-2902,953456,-0.0110703,2.1718318,3.6371460,604461,-63333,178258,264765
146,1779177352,117475719,0,2,0,0,-8130,-20453,544764,8625,-66688,-2902,953456,-3033,945363,-0.0115700,2.1862979,3.6062737,607892,-62176,178258,264765
147,1779177352,122475044,0,2,0,0,-8303,-20790,548562,8612,-67293,-3033,945363,-2999,916148,-0.0114403,2.1974428,3.4948273,608068,-62176,178258,264765
148,1779177352,127498946,0,2,0,0,-8903,-19476,552657,8618,-68826,-2999,916148,-3081,908582,-0.0117531,2.2121980,3.4659653,611503,-61683,180879,264765
149,1779177352,132485182,0,2,0,0,-9503,-18177,555980,8643,-70876,-3081,908582,-3331,910815,-0.0127068,2.2251298,3.4744835,614940,-60777,180879,264765
150,1779177352,137531644,0,25,0,0,-119189,-41817,559481,8683,-72694,-3331,910815,19073,928814,0.0727577,2.2405450,3.5431442,615117,-60777,180879,264765
151,1779177352,142637147,0,16,0,0,-119693,-40489,562448,10273,-58990,19073,928814,41477,906715,0.1582222,2.2493341,3.4588432,618557,-59874,180879,264765
152,1779177352,147614232,0,12,0,0,-120064,-40677,566187,13040,-37817,41477,906715,63881,848566,0.2436867,2.2569427,3.2370224,618735,-59874,180879,264765
