idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
23521,1778515611492468684,1,1,50,0,-3155,-1851569,-8298,14338,145181,1212,-143833,-25559,1851568,172782,-55728,885489,768399,776579
23522,1778515611497441159,1,1,50,0,-3155,-1851569,-8139,13630,144944,1193,-142498,-25559,-1851569,172782,-55728,884659,767229,774889
23523,1778515611502454659,1,1,50,0,-47964,1851568,-8391,14424,144751,1157,-141493,-25559,-1851569,172772,-56224,885518,767469,776989
23524,1778515611507439934,1,1,50,0,-3155,1851568,-8231,13722,144707,1111,-140970,-25559,1851568,172772,-56224,882629,766779,774029
23525,1778515611512462426,1,1,50,0,-47964,1851568,-8069,14011,144840,1062,-141076,-25559,1851568,172761,-56239,884469,768049,773729
23526,1778515611517449942,1,1,50,0,-47964,1851568,-7914,13305,144811,1018,-141569,-25559,1851568,172761,-56239,885099,767109,776049
23527,1778515611522471890,1,1,50,0,-47964,1851568,-7767,12589,144811,982,-142473,-25559,1851568,172761,-56239,884979,767319,775329
23528,1778515611527380588,1,1,50,0,-47964,1851568,-7986,13369,144766,960,-143500,-25559,1851568,172751,-55436,882239,766459,774579
23529,1778515611532419784,1,1,50,0,-47964,1851568,-8207,14138,144766,950,-144551,-25559,1851568,172740,-55460,889579,768539,778729
23530,1778515611537370947,1,1,50,0,-47964,1851568,-8430,14909,144811,955,-145313,-25559,1851568,172730,-55110,883049,766489,773719
23531,1778515611542434784,1,1,50,0,-3155,1851568,-8369,14728,144632,967,-145764,-25559,1851568,172730,-55110,882859,766839,774069
23532,1778515611547411163,1,1,50,0,-3155,-1851569,-8587,15462,144514,983,-145861,-25559,1851568,172719,-54235,881779,766089,773339
23533,1778515611552365622,1,1,50,0,-3155,1851568,-8805,16194,144306,996,-145606,-25559,-1851569,172709,-53539,885308,767008,777049
23534,1778515611557407794,1,1,50,0,-3155,1851568,-8626,15462,144217,1004,-145144,-25559,1851568,172709,-53539,884009,767159,772609
23535,1778515611562434414,1,1,50,0,-47964,-1851569,-8757,15863,144291,1008,-144392,-25559,1851568,172699,-53251,884549,767819,775319
23536,1778515611567433002,1,1,50,0,-47964,1851568,-8584,15146,144217,1001,-143485,-25559,-1851569,172699,-53251,883569,766189,776009
23537,1778515611572355908,1,1,50,0,-47964,-1851569,-8420,14444,144217,984,-142557,-25559,1851568,172699,-53251,892479,775329,783669
23538,1778515611577368896,1,1,50,0,-47964,-1851569,-8613,15157,144232,956,-141816,-25559,-1851569,172688,-52699,886019,767249,776889
23539,1778515611582362524,1,1,50,0,-47964,1851568,-8801,15851,144425,923,-141281,-25559,-1851569,172678,-51928,884409,767659,775099
23540,1778515611587387447,1,1,50,0,-3155,-1851569,-8626,15142,144632,888,-141006,-25559,1851568,172678,-51928,885228,767129,776609
23541,1778515611592426868,1,1,50,0,-3155,-1851569,-8742,16563,144662,852,-140997,-25559,-1851569,172667,-51379,885869,766889,777289
23542,1778515611597457488,1,1,50,0,-3155,-1851569,-8560,15852,144796,820,-141275,-25559,-1851569,172667,-51379,885939,767499,776569
23543,1778515611602478827,1,1,50,0,-3155,1851568,-8733,16518,144900,794,-141854,-25559,-1851569,172657,-50947,885408,766858,775049
23544,1778515611607375974,1,1,50,0,-47964,1851568,-8907,17177,145033,778,-142592,-25559,1851568,172647,-50272,883809,766619,775659
23545,1778515611612443266,1,1,50,0,-47964,1851568,-8565,15948,145107,773,-143521,-25559,1851568,172647,-50272,883969,766779,775789
23546,1778515611617435198,1,1,50,0,-47964,-1851569,-8728,16570,145063,779,-144367,-25559,1851568,172636,-49554,894599,767639,774449
23547,1778515611622432377,1,1,50,0,-3155,1851568,-8546,15845,145107,796,-145070,-25559,-1851569,172636,-49554,887229,767409,777909
23548,1778515611627445461,1,1,50,0,-3155,1851568,-8702,16451,145078,819,-145450,-25559,1851568,172626,-48875,882389,766169,773669
23549,1778515611632484401,1,1,50,0,-3155,1851568,-8520,15719,145211,848,-145427,-25559,1851568,172626,-48875,883729,767669,775549
23550,1778515611637442476,1,1,50,0,-47964,1851568,-8667,16310,145315,875,-144942,-25559,1851568,172939,-48244,938128,767369,829259
23551,1778515611642490888,1,1,50,0,-3155,1851568,-9044,17502,145330,895,-144213,-25559,1851568,173468,-47489,938039,769489,823559
23552,1778515611647442499,1,1,50,0,-3155,1851568,-8854,16792,145463,905,-143333,-25559,1851568,173468,-47489,937409,768779,821519
23553,1778515611652446655,1,1,50,0,-47964,1851568,-8993,17354,145686,907,-142426,-25559,1851568,174193,-46669,889569,769299,774639
23554,1778515611658008481,1,1,50,0,-3155,1851568,-8780,16565,146190,903,-141867,-25559,1851568,174193,-46669,892999,775339,771309
23555,1778515611662501783,1,1,50,0,-47964,-1851569,-8599,16879,146517,896,-140877,-25559,1851568,175018,-46013,883749,766999,775139
