idx,stamp_ns,compute_ok,status,iters,control_flags,out_steer_fp,out_accel_fp,ey_fp,epsi_fp,vx_fp,vy_fp,omega_fp,steer_meas_fp,prev_accel_in_fp,ref_vx0_fp,ref_kappa0_fp,total_call_ns,kernel_ns,wait_ns
5697,1778515522361363213,1,319604,2834,8,-3085,3012,-3085,3012,319604,-30975,99228,11395,2834,327783,11698,176130,62530,67660
5698,1778515522366413519,1,320153,3012,8,-3018,2892,-3018,2892,320153,-31737,99621,12464,3012,329653,11423,177800,63100,67830
5699,1778515522371329263,1,320524,2892,8,-3055,2411,-3055,2411,320524,-32565,98317,10974,2892,330610,11243,190470,75230,69110
5700,1778515522376318672,1,321043,2411,8,-3074,2599,-3074,2599,321043,-33253,97870,12544,2411,331580,11172,180120,63560,71070
5701,1778515522381323121,1,321903,2599,8,-3093,2779,-3093,2779,321903,-34020,96042,11025,2599,332562,10891,175410,61940,67140
5702,1778515522386317106,1,322853,2779,8,-3032,2676,-3032,2676,322853,-34642,95402,12352,2779,334568,10671,180420,63340,71240
5703,1778515522391334772,1,323446,2676,8,-3112,3001,-3112,3001,323446,-35334,93859,10890,2676,335598,10442,176040,62180,67910
5704,1778515522396353109,1,323684,3001,8,-3283,3755,-3283,3755,323684,-35898,93066,12006,3001,334568,10671,177221,63141,69181
5705,1778515522401308821,1,323951,3755,8,-3302,3916,-3302,3916,323951,-36532,90402,10279,3755,335598,10442,177330,63040,67900
5706,1778515522406318359,1,324470,3916,8,-3257,3804,-3257,3804,324470,-37019,88275,11425,3916,337706,10015,178210,63630,70020
5707,1778515522411309976,1,325479,3804,8,-3281,3963,-3281,3963,325479,-37545,85087,9918,3804,338790,9904,176420,62070,66220
5708,1778515522416335673,1,326621,3963,8,-3305,4115,-3305,4115,326621,-37914,83689,11077,3963,339895,9529,177710,63190,69040
5709,1778515522421331290,1,327348,4115,8,-3109,3331,-3109,3331,327348,-38340,82290,9560,4115,342161,9216,176880,62040,68130
5710,1778515522426341595,1,327719,3331,8,-3143,3499,-3143,3499,327719,-38613,83180,11256,3331,343325,8919,179960,63670,71570
5711,1778515522431314236,1,328208,3499,8,-3178,3673,-3178,3673,328208,-39003,83134,9718,3499,344508,8700,176270,62430,67880
5712,1778515522436339037,1,328713,3673,8,-3214,3862,-3214,3862,328713,-39303,83987,11043,3673,345710,8494,178160,63280,69720
5713,1778515522441577922,1,329425,3862,8,-3008,4008,-3008,4008,329425,-39743,83527,9485,3862,348169,8124,179190,63050,70450
5714,1778515522446311807,1,330196,4008,8,-3153,4624,-3153,4624,330196,-40061,83533,10531,4008,346930,8255,185290,70430,65130
